0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptvicuna_choiceD_probs
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,True,0.6692675,0.21727933,0.102635495,0.010817701
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.1887633,0.7465733,0.042118784,0.022544561
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,False,0.6562847,0.31000692,0.025446918,0.008261405
"Compared with a sound of 60 decibels, a sound of 80 decibels has an intensity",10 times greater,100 times greater,1000 times greater,more than 1000 times greater,B,False,0.53209066,0.36570022,0.09246349,0.009745581
"When red and blue light are overlapped, the color produced is",magenta,yellow,cyan,white,A,True,0.8005268,0.15763308,0.039855883,0.0019843075
"When 100 J are put into a device that puts out 40 J of useful work, the efficiency of the device is",40%,50%,60%,140%,A,False,0.31444588,0.45751604,0.14853372,0.07950437
Shock waves are produced by waves of sound,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.49078408,0.33731064,0.096641116,0.07526418
A rock suspended by a weighing scale weighs 5 N out of water and 3 N when submerged in water. What is the buoyant force on the rock?,3 N,5 N,8 N,None of these,D,False,0.42346004,0.47984308,0.057309084,0.03938792
The work done on a 100-kg crate that is hoisted 2 m in a time of 4 s is,200 J,500 J,800 J,2000 J,D,False,0.42400452,0.42400452,0.0946082,0.05738277
A capacitor loses half its remaining charge every second. If after five seconds its charge is q what was its initial charge?,4q.,8q.,16q.,32q.,D,False,0.4907534,0.43308836,0.051725026,0.024433173
The mass of an atom comes mostly from its _ ; and its volume from its _.,nucleons; nucleons.,electrons; electrons.,electrons; nucleons.,nucleons; electrons.,D,False,0.3755144,0.48217002,0.13814403,0.004171588
The definition of magnetic inclination is the angle between,magnetic north and geographic north,magnetic north and geographic south,the earth’s magnetic field at any point and the vertical,the earth’s magnetic field at any point and the horizontal,D,False,0.31444588,0.45751604,0.14853372,0.07950437
The pitch of a sound is mostly related to its,intensity,frequency,amplitude,speed,B,True,0.39243615,0.5709912,0.028427977,0.008144752
"As more lamps are connected to a series circuit, the current in the power source",increases,decreases,remains the same,None of these,B,False,0.7330347,0.21001795,0.053100854,0.003846613
"When an element ejects an alpha particle, the mass number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,B,False,0.35628748,0.35628748,0.24487257,0.04255247
An electron can be speeded up by,an electric field,a magnetic field,Both of these,Neither of these,A,True,0.800746,0.1786706,0.018831741,0.0017516249
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",zero,minus 1,minus 2,plus 1,A,True,0.37230927,0.32856178,0.225817,0.073312044
"When an object is set vibrating by a wave that has a matching frequency, what occurs is",forced vibration,resonance,refraction,amplitude reduction,B,True,0.33000794,0.61653596,0.044661716,0.008794413
The red glow in the neon tube of an advertising sign is a result of,fluorescence,incandescence,de-excitation,polarization,C,False,0.4836481,0.42681792,0.06545465,0.02407942
"At very high speeds, an object appears to an observer at rest to be",shorter in the direction of travel.,shrunken in all directions.,shorter in the direction perpendicular to travel.,longer in all directions.,A,True,0.5263608,0.36176217,0.0914678,0.020409223
"When a wave moves from shallow water to deep water, the","frequency decreases, the wavelength increases, and the speed increases","frequency does not change, the wavelength increases, and the speed increases","frequency does not change, the wavelength decreases, and the speed decreases","frequency does not change, the wavelength increases, and the speed decreases",B,False,0.50432223,0.34661528,0.1125295,0.036532983
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,9.8 m/s2,more than 9.8 m/s2,less than 9.8 m/s2,Cannot say unless the speed of throw is given.,A,True,0.5978038,0.2823825,0.10388272,0.01593093
Carbon-14 is primarily produced by cosmic radiation in the,atmosphere,food we eat,Earth’s interior,fallout of nuclear bomb tests,A,True,0.4026711,0.4026711,0.115367204,0.07929064
Chain reactions in a fission reactor are caused by,kinetic energy,energy conversion,mass conversion,ejected neutrons,D,False,0.2900896,0.3287146,0.22592203,0.15527378
Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is,zero,practically zero,appreciably weaker than at Earth’s surface,without a component of force along their circular path,D,False,0.3888796,0.26727277,0.26727277,0.07657494
The complementary color of blue is,magenta,yellow,cyan,white,B,True,0.2701606,0.6480816,0.068307295,0.013450504
"The difference between dc and ac in electric circuits is that in dc, charges flow",steadily in one direction,in one direction,to and fro,All of these,B,False,0.5872667,0.21604334,0.14848427,0.048205785
To receive an electric shock there must be a,current in one direction.,presence of moisture.,high voltage and low body resistance.,voltage difference across part or all of your body.,D,False,0.4285537,0.29454038,0.20243444,0.074471466
A karate chop delivers a force of 3000 N to a board that breaks. The force that the board exerts on the hand during this event is,less than 3000 N,3000 N,greater than 3000 N,Need more information,B,True,0.34187117,0.56365025,0.08643857,0.008040039
Find the speed of a wave by multiplying its frequency by its,period,wavelength,amplitude,None of these,B,True,0.387867,0.56434315,0.03607725,0.011712568
The magnitude of the gravitational force on a satellite is constant if the orbit is,parabolic,circular,elliptical,All of these,B,False,0.46793708,0.36442977,0.11831302,0.049320202
The impulse–momentum relationship is a direct result of Newton’s,first law,second law,third law,law of gravity,B,False,0.48870274,0.33588016,0.14001569,0.03540151
A common nuclear fission reactor,heats water,generates electricity directly,gets energy from nothing,is a major polluter of the atmosphere,A,False,0.28879872,0.42019966,0.13641885,0.15458283
The process of boiling water tends to,warm the water,cool the water,Both,Neither,B,False,0.72322166,0.20720649,0.0672701,0.0023018562
"When you scale up an object to 3 times its linear size, the surface area increases by",3 and the volume by 9.,3 and the volume by 27.,9 and the volume by 27.,4 and the volume by 8.,C,False,0.36267313,0.46568152,0.13341999,0.03822547
"If you change the magnetic field in a closed loop of wire, what is created in the loop is a(n)",current,voltage,electric field,All of these,D,False,0.6751204,0.15063973,0.17069717,0.0035427068
Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,inside the spaceship.,Earth.,Both of these.,Neither of these.,B,False,0.5726891,0.34735352,0.060360987,0.019596344
The model of light most supported by the photoelectric effect is the,wave model,particle model,Both of these,Neither of these,B,False,0.6443085,0.34487352,0.010414277,0.00040380534
"Compared with a fundamental tone, the frequency of its second harmonic is",half as much,twice as much,the same,four times as much,B,False,0.45471102,0.40128106,0.13027689,0.013731083
A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be,48.0 m,24.0 m,6.00 m,3.00 m,C,False,0.28513134,0.3661159,0.28513134,0.0636214
"During the time an aircraft produces a sonic boom, the aircraft is",breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,All of these,C,False,0.7282347,0.18412657,0.046554487,0.04108419
The principal source of Earth’s internal energy is,tidal friction,gravitational pressure,radioactivity,geothermal heat,C,False,0.20123132,0.48272884,0.25838614,0.05765374
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",positive,negative,Both of these,Neither of these,A,True,0.7266686,0.23591475,0.036178697,0.001237967
Astrophysicists are able to identify the elements in the outer layers of a star by studying its,Doppler effect.,molecular structure.,temperature.,spectrum.,D,False,0.24591295,0.4054419,0.21701743,0.13162771
Relativistic equations for time dilation length contraction and relativistic momentum and energy hold true,at speeds near that of light.,at everyday low speeds.,at all speeds.,only approximately.,C,False,0.64289975,0.2365096,0.09859187,0.021998819
"In his special theory of relativity, Einstein stated that the laws of physics are",different in different situations.,common sense applied to microscopic and macroscopic things.,the same in all frames of reference.,the same in all uniformly moving frames of reference.,D,False,0.065318584,0.2927376,0.5469058,0.09503798
"When an element ejects a beta particle, the atomic number of that element",reduces by 1,increases by 1,reduces by 2,increases by 2,B,False,0.49946052,0.44077235,0.05264275,0.007124421
The amount of heat transferred to a system can be measured in,calories,joules,Either,Neither,C,False,0.52674156,0.41022673,0.05551815,0.0075135645
"Compared with the sound you hear from the siren of a stationary fire engine, its sound when it approaches you has an increased",speed,frequency,Both of these,Neither of these,B,False,0.545724,0.37507024,0.073855706,0.005350089
Light reflecting from a smooth surface undergoes a change in,frequency.,wavelength.,All of these.,None of these.,D,False,0.5237405,0.4078895,0.06255188,0.005818231
What Einstein discovered about space and time is that they,are separate entities.,are parts of one whole.,follow an inverse-square law.,are special to space travelers.,B,True,0.33256176,0.54830164,0.08408478,0.03505175
All parts of a laser beam have the same,frequency,phase,speed,All of these,D,False,0.70119196,0.10753127,0.10753127,0.08374544
The rotational inertia of an object is greater when most of the mass is located,near the rotational axis,away from the axis,on the rotational axis,off center,B,False,0.5999178,0.2833811,0.10425009,0.012450897
"When small pieces of material are assembled into a larger piece, the combined surface area",greatly increases,slightly increases,decreases,is unchanged,C,False,0.83687186,0.11325829,0.041665394,0.008204402
A rainbow is the result of light in raindrops that undergoes,internal reflection,dispersion,refraction,All of these,D,False,0.5530181,0.20344399,0.23053223,0.013005739
"In the atomic nucleus, electrical forces tend to",hold particles together,push particles apart,produce orbital motion,charge particles,B,False,0.6679509,0.24572542,0.07977536,0.00654836
The fact that the acceleration of free fall is the same for all masses is explained by Newton’s,first law,second law,third law,law of action–reaction,B,False,0.53870314,0.32673997,0.120200925,0.014355952
"Compared with radiation from the Sun, terrestrial radiation has a lower",wavelength,frequency,Both,Neither,B,False,0.51764935,0.3139702,0.14830902,0.020071443
"When we speak of time dilation, we mean that time",compresses with speed.,stretches with speed.,is a constant at all speeds.,is related to space.,B,False,0.44784218,0.39521933,0.12830894,0.028629592
The magnetic field lines about a current-carrying wire form,circles,radial lines,eddy currents,energy loops,A,True,0.4377145,0.38628167,0.16102616,0.014977766
An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it,increases.,decreases.,remains largely unchanged.,Need more information.,B,False,0.75637764,0.16877067,0.07035408,0.004497586
"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?",0.50 g,0.25 g,0.125 g,0.0625 g,C,False,0.4243955,0.33051956,0.13778104,0.107303984
Boiling and freezing occur when water is subjected to,decreased temperatures,decreased atmospheric pressure,increased temperatures,increased atmospheric pressure,B,False,0.6726592,0.21838047,0.091034524,0.017925762
"When you bend the branch of a tree by hanging on its end, the top side of the branch is under",tension.,compression.,Both.,Neither.,A,True,0.8290782,0.14407219,0.025035992,0.0018136012
A simple and correct way to comprehend satellites orbiting Earth is to view them as,balanced between gravitational and centripetal forces.,beyond the main pull of Earth gravity.,in mechanical equilibrium with a net force of zero.,having sufficient tangential velocities to fall around rather than into Earth.,D,False,0.64110285,0.30283552,0.040984333,0.015077294
