0,1,2,3,4,5,llama_7B_ga_sharegpt_xc_20000/ckp5000_correct,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceA_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceB_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceC_probs,llama_7B_ga_sharegpt_xc_20000/ckp5000_choiceD_probs
"Compared with a sound of 60 decibels, a sound of 80 decibels has an intensity",10 times greater,100 times greater,1000 times greater,more than 1000 times greater,B,False,0.52764297,0.32003164,0.07140871,0.08091667
"When red and blue light are overlapped, the color produced is",magenta,yellow,cyan,white,A,True,0.6839663,0.17293376,0.08695656,0.05614337
"When 100 J are put into a device that puts out 40 J of useful work, the efficiency of the device is",40%,50%,60%,140%,A,True,0.412909,0.3643909,0.118300416,0.10439975
Shock waves are produced by waves of sound,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.28988153,0.42177513,0.032523807,0.25581956
A rock suspended by a weighing scale weighs 5 N out of water and 3 N when submerged in water. What is the buoyant force on the rock?,3 N,5 N,8 N,None of these,D,False,0.31465873,0.6257736,0.024263876,0.03530373
The work done on a 100-kg crate that is hoisted 2 m in a time of 4 s is,200 J,500 J,800 J,2000 J,D,False,0.6088307,0.28759125,0.046947982,0.05663008
A capacitor loses half its remaining charge every second. If after five seconds its charge is q what was its initial charge?,4q.,8q.,16q.,32q.,D,False,0.36464268,0.32179603,0.19517916,0.11838214
The mass of an atom comes mostly from its _ ; and its volume from its _.,nucleons; nucleons.,electrons; electrons.,electrons; nucleons.,nucleons; electrons.,D,False,0.512525,0.24209967,0.107431084,0.13794424
The definition of magnetic inclination is the angle between,magnetic north and geographic north,magnetic north and geographic south,the earth’s magnetic field at any point and the vertical,the earth’s magnetic field at any point and the horizontal,D,False,0.78154993,0.08237475,0.03030398,0.10577128
The pitch of a sound is mostly related to its,intensity,frequency,amplitude,speed,B,True,0.19568464,0.7739478,0.0097425645,0.02062501
"As more lamps are connected to a series circuit, the current in the power source",increases,decreases,remains the same,None of these,B,False,0.47077906,0.3235614,0.05281995,0.15283959
"When an element ejects an alpha particle, the mass number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,B,True,0.21637933,0.31483006,0.19095409,0.27783656
An electron can be speeded up by,an electric field,a magnetic field,Both of these,Neither of these,A,True,0.9848129,0.010940284,0.0027661368,0.0014806063
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",zero,minus 1,minus 2,plus 1,A,False,0.14900105,0.4311488,0.1235262,0.29632396
"When an object is set vibrating by a wave that has a matching frequency, what occurs is",forced vibration,resonance,refraction,amplitude reduction,B,False,0.6169398,0.3741929,0.0041569076,0.0047103935
The red glow in the neon tube of an advertising sign is a result of,fluorescence,incandescence,de-excitation,polarization,C,False,0.92800784,0.06722467,0.002606583,0.002160933
"At very high speeds, an object appears to an observer at rest to be",shorter in the direction of travel.,shrunken in all directions.,shorter in the direction perpendicular to travel.,longer in all directions.,A,True,0.8949121,0.07345886,0.0105827525,0.021046316
"When a wave moves from shallow water to deep water, the","frequency decreases, the wavelength increases, and the speed increases","frequency does not change, the wavelength increases, and the speed increases","frequency does not change, the wavelength decreases, and the speed decreases","frequency does not change, the wavelength increases, and the speed decreases",B,False,0.38789856,0.18323031,0.086551875,0.34231928
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,9.8 m/s2,more than 9.8 m/s2,less than 9.8 m/s2,Cannot say unless the speed of throw is given.,A,True,0.7751032,0.13469274,0.034055658,0.05614829
Carbon-14 is primarily produced by cosmic radiation in the,atmosphere,food we eat,Earth’s interior,fallout of nuclear bomb tests,A,False,0.24846093,0.219266,0.17076454,0.36150852
Chain reactions in a fission reactor are caused by,kinetic energy,energy conversion,mass conversion,ejected neutrons,D,True,0.07455837,0.05806612,0.06579753,0.801578
Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is,zero,practically zero,appreciably weaker than at Earth’s surface,without a component of force along their circular path,D,False,0.5601423,0.26459247,0.03363916,0.14162615
The complementary color of blue is,magenta,yellow,cyan,white,B,False,0.8038183,0.13968268,0.037595082,0.018903995
"The difference between dc and ac in electric circuits is that in dc, charges flow",steadily in one direction,in one direction,to and fro,All of these,B,False,0.7649866,0.19341889,0.007983352,0.033611163
To receive an electric shock there must be a,current in one direction.,presence of moisture.,high voltage and low body resistance.,voltage difference across part or all of your body.,D,False,0.30993462,0.03266687,0.5109958,0.14640275
A karate chop delivers a force of 3000 N to a board that breaks. The force that the board exerts on the hand during this event is,less than 3000 N,3000 N,greater than 3000 N,Need more information,B,True,0.17742406,0.79515946,0.012852555,0.014563854
Find the speed of a wave by multiplying its frequency by its,period,wavelength,amplitude,None of these,B,True,0.12533517,0.8172879,0.014062215,0.043314673
The magnitude of the gravitational force on a satellite is constant if the orbit is,parabolic,circular,elliptical,All of these,B,True,0.264251,0.52552587,0.016893001,0.19333017
The impulse–momentum relationship is a direct result of Newton’s,first law,second law,third law,law of gravity,B,True,0.31789163,0.52411467,0.03350553,0.124488145
A common nuclear fission reactor,heats water,generates electricity directly,gets energy from nothing,is a major polluter of the atmosphere,A,False,0.14777502,0.58446157,0.024123609,0.24363983
The process of boiling water tends to,warm the water,cool the water,Both,Neither,B,False,0.95924234,0.030834796,0.006463324,0.0034595681
"When you scale up an object to 3 times its linear size, the surface area increases by",3 and the volume by 9.,3 and the volume by 27.,9 and the volume by 27.,4 and the volume by 8.,C,False,0.3509605,0.2733283,0.18785562,0.18785562
"If you change the magnetic field in a closed loop of wire, what is created in the loop is a(n)",current,voltage,electric field,All of these,D,False,0.84465855,0.12953259,0.02396112,0.0018476831
Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,inside the spaceship.,Earth.,Both of these.,Neither of these.,B,False,0.40366402,0.31437385,0.06589634,0.2160658
The model of light most supported by the photoelectric effect is the,wave model,particle model,Both of these,Neither of these,B,True,0.17292123,0.7749791,0.0055585434,0.046541113
"Compared with a fundamental tone, the frequency of its second harmonic is",half as much,twice as much,the same,four times as much,B,True,0.23499885,0.3017445,0.1615122,0.3017445
A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be,48.0 m,24.0 m,6.00 m,3.00 m,C,False,0.27005607,0.23832364,0.18560664,0.3060136
"During the time an aircraft produces a sonic boom, the aircraft is",breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,All of these,C,False,0.95709974,0.025505845,0.0053463154,0.012048108
The principal source of Earth’s internal energy is,tidal friction,gravitational pressure,radioactivity,geothermal heat,C,False,0.25153247,0.68373615,0.0086069675,0.056124482
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",positive,negative,Both of these,Neither of these,A,True,0.4840157,0.42714235,0.027306298,0.061535694
Astrophysicists are able to identify the elements in the outer layers of a star by studying its,Doppler effect.,molecular structure.,temperature.,spectrum.,D,False,0.47230738,0.4168098,0.0235148,0.087368086
Relativistic equations for time dilation length contraction and relativistic momentum and energy hold true,at speeds near that of light.,at everyday low speeds.,at all speeds.,only approximately.,C,False,0.74336857,0.08878271,0.11399926,0.05384944
"In his special theory of relativity, Einstein stated that the laws of physics are",different in different situations.,common sense applied to microscopic and macroscopic things.,the same in all frames of reference.,the same in all uniformly moving frames of reference.,D,False,0.48902234,0.14010724,0.10911564,0.2617548
"When an element ejects a beta particle, the atomic number of that element",reduces by 1,increases by 1,reduces by 2,increases by 2,B,True,0.27480918,0.35286197,0.12981066,0.24251826
The amount of heat transferred to a system can be measured in,calories,joules,Either,Neither,C,False,0.08272978,0.8894289,0.008191356,0.019650046
"Compared with the sound you hear from the siren of a stationary fire engine, its sound when it approaches you has an increased",speed,frequency,Both of these,Neither of these,B,False,0.64977723,0.30693302,0.023668135,0.019621573
Light reflecting from a smooth surface undergoes a change in,frequency.,wavelength.,All of these.,None of these.,D,False,0.37470973,0.48113683,0.02250307,0.12165044
What Einstein discovered about space and time is that they,are separate entities.,are parts of one whole.,follow an inverse-square law.,are special to space travelers.,B,False,0.6854283,0.222526,0.028291004,0.06375477
All parts of a laser beam have the same,frequency,phase,speed,All of these,D,False,0.20365497,0.38047758,0.03538993,0.38047758
The rotational inertia of an object is greater when most of the mass is located,near the rotational axis,away from the axis,on the rotational axis,off center,B,False,0.6964433,0.12882906,0.05370394,0.1210237
"When small pieces of material are assembled into a larger piece, the combined surface area",greatly increases,slightly increases,decreases,is unchanged,C,False,0.6138613,0.22582696,0.053638604,0.10667311
A rainbow is the result of light in raindrops that undergoes,internal reflection,dispersion,refraction,All of these,D,False,0.21528488,0.04239211,0.66312414,0.07919889
"In the atomic nucleus, electrical forces tend to",hold particles together,push particles apart,produce orbital motion,charge particles,B,False,0.8525157,0.07929631,0.025743743,0.042444255
The fact that the acceleration of free fall is the same for all masses is explained by Newton’s,first law,second law,third law,law of action–reaction,B,False,0.62673193,0.29604718,0.018925665,0.058295153
"Compared with radiation from the Sun, terrestrial radiation has a lower",wavelength,frequency,Both,Neither,B,True,0.35258162,0.45272374,0.04771673,0.14697787
"When we speak of time dilation, we mean that time",compresses with speed.,stretches with speed.,is a constant at all speeds.,is related to space.,B,False,0.38336772,0.2985671,0.085540906,0.23252428
The magnetic field lines about a current-carrying wire form,circles,radial lines,eddy currents,energy loops,A,False,0.15460858,0.7851671,0.0067930263,0.05343129
An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it,increases.,decreases.,remains largely unchanged.,Need more information.,B,False,0.3930821,0.3930821,0.049974784,0.163861
"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?",0.50 g,0.25 g,0.125 g,0.0625 g,C,False,0.26503736,0.23389466,0.16075328,0.34031472
Boiling and freezing occur when water is subjected to,decreased temperatures,decreased atmospheric pressure,increased temperatures,increased atmospheric pressure,B,False,0.9572371,0.018663151,0.012049837,0.012049837
"When you bend the branch of a tree by hanging on its end, the top side of the branch is under",tension.,compression.,Both.,Neither.,A,True,0.9856749,0.012407816,0.0010184955,0.0008988192
A simple and correct way to comprehend satellites orbiting Earth is to view them as,balanced between gravitational and centripetal forces.,beyond the main pull of Earth gravity.,in mechanical equilibrium with a net force of zero.,having sufficient tangential velocities to fall around rather than into Earth.,D,False,0.7631055,0.07097987,0.06263951,0.1032751
