0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_correct,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_alpaca_combine_6k_52000_choiceD_probs
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?","Design and construct a threedimensional model of a low-income, multifamily dwelling unit",Describe several construction careers that are related to home building,Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,True,0.97059005,0.017776977,0.0050931894,0.0065397844
Who was the first US president to resign from that office?,Martin Van Buren,Andrew Jackson,Andrew Johnson,Richard Nixon,D,False,0.82926387,0.12717174,0.0151884975,0.02837585
How much kale would be needed to provide enough calories for a person for an entire year?,2*10^3 kg/yr,2*10^4 kg/yr,2*10^5 kg/yr,2*10^6 kg/yr,A,True,0.39846432,0.39846432,0.08890941,0.114161946
How long has the average United States citizen spent as president?,1 seconds,10 seconds,1 minute,10 minutes,B,True,0.1464594,0.5111935,0.12924996,0.21309716
What is the proletariat?,the homeless,the royalty,the upper class,the working class,D,True,0.01028534,0.035899363,0.027958455,0.9258568
According to the proverb necessity is the mother of what?,Invention,Luck,Problems,Procrastination,A,True,0.9737588,0.013889923,0.0065611354,0.005790182
What rank entitles a general in the US Army to wear three stars?,brigadier general,corporal general,lieutenant general,major general,C,False,0.9629877,0.02907971,0.003473076,0.0044595175
What is another way of writing-'six feet'?,6',6,6'',6#,A,True,0.96060795,0.032870196,0.0034644932,0.0030574047
"In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?",Rafters,Studs,Headers,Joists,B,False,0.9421734,0.04139621,0.009236743,0.007193583
What part of the world was once known as Cathay?,China,India,Iran,Indonesia,A,True,0.96874183,0.025816096,0.0027209965,0.0027209965
What is a shaddock?,a fish the offspring of a male shad and a female haddock,"a crystal such as quartz, that sticks out from a mineral vein",a plant that is a member of the nightshade family,a grapefruit,D,False,0.8747911,0.104478896,0.011011994,0.009718051
How many innings are there in a regular Major League Baseball game?,seven,eight,nine,ten,C,False,0.8950215,0.09433457,0.0053219926,0.0053219926
"Which of the following statements is correct about a trophic structure in which a leaf-eating grasshopper is eaten by a frog, which in turn is eaten by a snake?",The frog is a herbivore.,The snake is a secondary consumer.,The grasshopper is a primary consumer.,The snakes outnumber the grasshoppers in the community.,C,False,0.18688822,0.39564237,0.27192077,0.1455487
"People who believe their political views are important, that government will respect these views, and that their views can influence political affairs are said to have a strong sense of",political partisanship,political alienation,political allegiance,political efficacy,D,False,0.92388713,0.052122146,0.009057471,0.014933244
What was the average life expectancy of white males born in the U.S. just before the Civil War?,40 years,50 years,60 years,70 years,A,True,0.809776,0.10959126,0.040316373,0.040316373
"What does the Yiddish word""'meshuga' mean?",crazy,sacred,stingy,sweet,A,True,0.9957955,0.0027969845,0.0010289531,0.0003785307
What is the last letter of the Greek alphabet?,omicron,omega,upsilon,zeta,B,False,0.5190769,0.11582171,0.21638343,0.14871801
An elementary school student is able to follow fast and slow songs by playing appropriate rhythm patterns on the drum. Which of the following attributes of music does the student understand?,Dynamics,Pitch,Tempo,Harmony,C,True,0.024561489,0.05199667,0.8133648,0.11007696
When FDR carried states in the presidential election of 1932 how many states did he not carry?,six,seven,eight,ten,A,True,0.46973592,0.46973592,0.034027558,0.026500687
Which of these is a member of the cucumber family?,green pepper,watermelon,potato,green bean,B,False,0.9122856,0.045420025,0.014745723,0.02754864
"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it's wrong what they say about the past, I've learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years. The excerpt is an example of which of the following types of writing?",Informative,Persuasive,Descriptive,Narrative,D,True,0.015872646,0.014007561,0.10350266,0.86661714
Which of the following defenses may NOT be used to legally avoid payment on a negotiable instrument?,Breach of contract,Diminished economic resources,Fraud in the inducement,Mental incapacity,B,False,0.3672767,0.17348923,0.13511355,0.32412055
"Simple accompaniments, light texture and smooth melodies are qualities of",galant style,partitas,Sturm und Drang,serenade,A,True,0.95813996,0.017548947,0.013667132,0.010643973
Which of the following is true about a monopoly?,It competes with many firms selling the same product in the market.,It has to lower its price on all units to sell more output.,Its marginal revenue increases as output sold increases.,It sets a price below average variable cost to drive its competitors out of the market.,B,False,0.7587556,0.07997225,0.029420149,0.13185196
Which of these names has never belonged to a Pope?,Leo,Lando,Linus,Lawrence,D,False,0.71335685,0.23159306,0.04024484,0.014805249
Which of the following best helps explain why some localities have normally large tidal ranges (up to 60 feet) and others have one- to two-foot tidal ranges?,The position of the Sun is different at different localities.,The Coriolis effect and rotation of Earth tend to enhance tidal flow in the higher latitudes.,Ocean floor topography and the shape of the coastline serve to amplify tidal flow at specific localities.,Trade winds push the water into large tidal bulges near rocky shorelines.,C,True,0.057653733,0.2583861,0.48272878,0.20123129
"Which of these is typically not ""used as a spice?",Dill,Thyme,Hemlock,Marjoram,C,False,0.7844969,0.03446839,0.005989708,0.17504492
Who is the patron saint of animals?,St Isidore of Seville,St Anthony of Padua,St Francis of Assisi,St Joan of Arc,C,False,0.7968981,0.13848013,0.05772711,0.0068945196
The dissolved salts in Earth's oceans are principally derived from,marine biological activity,atmospheric deposition,the weathering of continental rocks,the eruptions of undersea hot-spot volcanoes,C,False,0.41181126,0.2204267,0.117985904,0.24977615
What is the baseball term for a batter who substitutes for another batter?,Switchhitter,Shadow hitter,Clip hitter,Pinch hitter,D,False,0.87686896,0.043656733,0.030004805,0.04946956
In 1960 Nazi official Adolph Eichmann was finally captured in what country?,Brazil,East Germany,Argentina,Paraguay,C,True,0.021416303,0.23024693,0.48743278,0.26090398
What is the square root of 81 squared?,9,27,81,729,C,True,0.11592248,0.19112386,0.6670878,0.0258658
Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?,Absorption lines in the solar spectrum are consistent with the presence of sodium.,Stars with the same spectral class as the Sun are made mostly of sodium.,Solar samples returned to Earth by the Voyager spacecraft contained sodium.,The Sun gives off energy produced by the nuclear fusion of sodium in its core,A,True,0.9872422,0.007537687,0.00277296,0.002447129
What letters are on the '3' button of a touch-tone telephone?,ABC,DEF,GHI,WXY,B,False,0.33077964,0.10738843,0.5453634,0.01646855
"To best encourage student engagement in the classroom, a teacher should select texts based on which of the following?",The instructional objectives,The culture of the local community,The instructional reading level of the class,Topics that are interesting for the students,D,False,0.85086167,0.06984298,0.01765907,0.061636213
When born a Dalmatian puppy is always?,Black,black with white spots,white,white with black spots,C,False,0.13028732,0.84958005,0.010694635,0.009437982
Which of these countries is not in Europe?,Italy,Spain,Greece,Israel,D,True,0.17775637,0.17775637,0.024056707,0.62043065
What famous radio personality was also the voice of Shaggy on the cartoon 'Scooby-Doo'?,Rush Limbaugh,Casey Kasem,Larry King,Howard Stern,B,True,0.0152850645,0.94565344,0.02855626,0.010505261
Many scientists think that some of the dinosaurs did not go extinct but rather evolved into what kind of creature?,amphibians,reptiles,birds,mammals,C,False,0.17686196,0.4242698,0.29159608,0.1072722
What are fans of the TV show 'Mystery Science Theater 3000' known as?,Mysterians,MiSTies,Bot Brigade,Gizmonics,B,True,0.29148242,0.69922996,0.003238077,0.0060495245
What automobile company makes the Sonata?,Toyota,Honda,Subaru,Hyundai,D,True,8.4308806e-05,0.0046031047,0.0013188116,0.9939938
Force equals mass times what?,Velocity,Distance,Acceleration,Weight,C,False,0.90462,0.05783042,0.018774789,0.018774789
To create a tapestry one must traditionally engage in what activity?,Weaving,Sculpting,Baking,Singing,A,True,0.99548066,0.003590264,0.00037841103,0.0005505848
What element do organic compounds contain?,Carbon,Oxygen,Hydrogen,Nitrogen,A,True,0.92888784,0.021845348,0.03601689,0.013249873
What is the technical term for someone who studies fish?,entomologist,ichthyologist,marinologist,herpetologist,B,True,0.22181754,0.7742193,0.0035853465,0.00037789275
A person uses a remote control to change the volume level on a television. The signal that travels from the remote to the television is most likely encoded in a,visible light pulse,radio wave signal,series of infrared pulses,series of intense infrared beams,C,True,0.090474464,0.21703696,0.5899676,0.102520995
When it comes to measuring horses how long is a 'hand'?,four inches,seven inches,ten inches,two feet,A,True,0.87047017,0.091746874,0.03375179,0.0040310766
What is the (approximate) value of lemon juice on the pH scale?,14,2,7,0,B,True,0.21892008,0.525162,0.1931963,0.062721655
Which of the following best describes the situation after the price is raised on a product that has an inelastic demand?,The quantity demanded will not change.,The quantity demanded will increase.,Total revenue will decrease.,Total revenue will not change.,A,False,0.065742895,0.90755266,0.016622407,0.010081999
Which of the following statements reflects the Confucian worldview that figured prominently in classical Chinese culture?,Having faith in God will be rewarded in the afterlife.,Life's ultimate goal is to escape the suffering inherent in the endless cycle of death and reincarnation.,A life of quiet contemplation and isolation from worldly temptations will result in self-perfection.,Observing rules of proper behavior toward others will ensure social and political harmony.,D,True,0.087880865,0.30673435,0.032329563,0.5730552
Which of these Democrats lost to Ronald Reagan in the 1984 presidential elections?,Michael Dukakis,Walter Mondale,Gary Hart,Jimmy Carter,B,False,0.79524225,0.12195435,0.008834343,0.07396906
Real gross domestic product (GDP) is defined as the ratio of nominal GDP to the,money supply,unemployment rate,government's budget deficit,GDP deflator,D,True,0.25912416,0.07424031,0.04502903,0.6216065
Which of these is another name for a golf course?,Pitch,Links,Steps,Suite,B,True,0.2926193,0.7019572,0.0036835335,0.0017399781
"When Corporation X pays out $300,000 in salaries, which of the following is the impact on assets and liabilities?","Salary expense is increased by $300,000; cash is increased by $300,000","Salary expense is increased by $300,000; cash is decreased by $300,000","Salary expense is decreased by $300,000; cash is increased by $300,000","Salary expense is decreased by $300,000; cash is decreased by $300,000",B,False,0.7340172,0.14453655,0.05317203,0.06827424
Who was not one of the Cartwright sons on the TV series 'Bonanza'?,Adam,Little Joe,Hoss,Ben,D,False,0.9593398,0.013684247,0.009405036,0.017570922
How long is a single term in the US Senate?,two years,four years,six years,eight years,C,False,0.7894288,0.19959885,0.006829897,0.004142542
On what body part should you wear a babushka?,head,hands,foot,legs,A,True,0.9934587,0.0046006264,0.0006226271,0.0013181015
A kindergarten teacher has students determine the following. • How many students are absent that day • If there are enough snack cups for each student to have one during snack time • How many balls are taken outside during recess and how many are brought back inside after recess. Which of the following concepts is most closely aligned with the determinations the teacher is having the students make?,Classifying,Counting,Patterning,Ordering,B,True,0.08656245,0.4981325,0.20765251,0.20765251
"Grammar may be taught in two main ways— by experience with discourse that entails the varieties of word forms and sentence construction, or by analyzing dummy sentences and diagramming parts. Plentiful discursive experience is what really teaches grammar, for it exercises judgment and provides language intake, whereas formal grammar study has been proved irrelevant. Politics more than pedagogy retards the changing of the curriculum to fit this truth. The author of the passage above argues that",using language in a wide variety of situations improves grammar,good judgment can be improved by studying the rules of formal grammar,analyzing and diagramming provide exercise in logical thinking,formal study of grammar improves writing ability,A,True,0.8018738,0.12297133,0.035231877,0.039922945
Who was the mother of the Greek god Zeus?,Gaia,Phoebe,Rhea,Hera,C,False,0.94235957,0.036539245,0.011862556,0.009238568
Which of these evangelists is a cousin of rocker Jerry Lee Lewis?,Billy Graham,Oral Roberts,Jerry Falwell,Jimmy Swaggart,D,False,0.4408972,0.3433711,0.18379329,0.031938486
Which of the following prescribes standards for wages and overtime pay that affect most private and public employment?,The Employee Retirement Income Security Act,The American Recovery and Reinvestment Act,The Fair Labor Standards Act,The Federal Employees' Compensation Act,C,True,0.003992461,0.10296693,0.76082844,0.13221216
What organelle is primarily responsible for photosynthesis?,Nucleus,Chloroplast,Mitochondria,Golgi Apparatus,B,True,0.0052047805,0.9918556,0.0019147318,0.0010248821
In what city is TV's 'The Mary Tyler Moore Show' set?,Dallas,Chicago,New York,Minneapolis,D,False,0.0069972062,0.55585694,0.00424402,0.43290183
What Greek poet wrote 'The Iliad' and 'The Odyssey'?,Sophocles,Plato,Homer,Socrates,C,True,0.00037639256,0.0066717174,0.99017066,0.0027811856
What is Delta Burke's character's job on the sitcom 'Designing Women'?,fashion designer,graphic designer,interior designer,website designer,C,False,0.9910459,0.0075667286,0.00048372478,0.0009037169
Which of the following activities will best help a teacher collect data that will inform instruction to meet the individual needs of students?,Concentric circles,K-W-L chart,Book pass,Reciprocal teaching,B,False,0.5139683,0.24278143,0.054171856,0.18907838
On average what length of time passes between high tides?,3 hours 25 minutes,6 hours 25 minutes,12 hours 25 minutes,24 hours 25 minutes,C,False,0.6029925,0.28483346,0.05608704,0.05608704
An increase in the real interest rate in the United States relative to its trading partners will most likely result in which of the following?,An increase in United States imports,An increase in United States exports,A decrease in the demand for the United States dollar,A decrease in the United States trade deficit,A,True,0.69518524,0.25574437,0.018526059,0.030544309
The legal basis for the escalation of United States involvement in the Vietnam War was the,declaration of war by Congress,passage of the Gulf of Tonkin Resolution by Congress,United Nations resolution condemning the North Vietnamese invasion of South Vietnam,mutual defense provisions of the North Atlantic Treaty Organization (NATO),B,True,0.029227339,0.9678765,0.0021172212,0.0007788822
What professional sports team plays its home games in the Alamodome?,New York Jets,Detroit Tigers,Boston Bruins,San Antonio Spurs,D,True,0.00013907532,0.0031653396,0.0021755039,0.9945201
What is the name of Howard Stern's female on-air sidekick?,Allison Norris,Jackie Reeses,Jackie Martling,Robin Quivers,D,False,0.7638287,0.1504068,0.023065628,0.06269888
In what decade did Israel become an independent state?,1920s,1940s,1950s,1960s,B,True,0.10903013,0.6274251,0.12354732,0.13999747
In cooking the term 'au gratin' is sometimes used to describe a dish with what topping?,cheese,fruit,gravy,whipped cream,A,True,0.9736429,0.017832892,0.0057894923,0.0027347624
Which of the following is the most effective way to evaluate the development of a student's drafting skills throughout the school year?,Baseline assessment,Portfolio assessment,Short-answer unit assessment,Teacher-created assessment,B,True,0.22853033,0.703923,0.016554682,0.050992012
In the sci-fi movie 'Fantastic Voyage' where do the voyagers travel?,through outer space,through a human body,to the ocean floor,to the center of the earth,B,False,0.73460066,0.23848991,0.013454681,0.013454681
What would be the most likely thing one would do with the compound MgSO4 7H2O?,power a car,blow up a building,soak ones feet,fertilize a lawn,C,False,0.64881426,0.08780746,0.18588841,0.077489816
Who originally proposed the idea of daylight-saving time?,Benjamin Franklin,Henry David Thoreau,Galileo,Albert Einstein,A,True,0.76291233,0.21857806,0.013973227,0.004536443
If you ask for 'gai' at a Thai restaurant what will you get?,shrimp,chicken,beef,pork,B,False,0.9613256,0.029029518,0.005716251,0.003928718
On a set of jumper cables what color designates the negative connector?,black,red,orange,blue,A,True,0.7585135,0.21731776,0.0084263235,0.015742445
Which of these is a commonly-known investment account?,CNN,EMC,IRA,IRS,C,True,0.040838726,0.08645558,0.82026774,0.05243796
If you are 'riding fakie' inside a 'half pipe' what are you probably doing?,skiing,biking,snowboarding,surfing,C,False,0.49843636,0.49843636,0.0020369955,0.0010903252
Which of these people was not alive in the 20th century?,Mark Twain,Thomas Edison,Sigmund Freud,Ulysses S Grant,D,False,0.62370604,0.22944863,0.09564842,0.05119691
What color is cartoon character Marge Simpson's hair?,yellow,purple,blue,brown,C,False,0.97827566,0.017917745,0.0021399693,0.0016666098
Which of these is not a fabric?,Velveteen,Celotex,Seersucker,Tencel,B,False,0.8964485,0.09448497,0.0022220737,0.006844469
How is 4:00 pm expressed in military time?,1600,4,400,4:00,A,False,0.096111916,0.074852034,0.024300897,0.8047352
Which of the following is most likely to cause a rise in the average temperature of Earth's atmosphere in the future?,Atomic warfare,CO2 from fossil fuels,Dust clouds from volcanoes,Depletion of Earth's ozone layer,B,True,0.0031303044,0.98351234,0.005848178,0.007509209
Which of the following activities is likely to have the greatest impact on biodiversity?,Copper mining in Chile,Soil erosion on the slopes of the Rocky Mountains,Large-scale deforestation of the Amazon or Congo basin tropical forests,Increased use of ethanol fuels in the United States,C,True,0.07096538,0.24769352,0.4627524,0.21858875
Whom did Billie Jean King defeat in the famous 'Battle of the Sexes' tennis match?,Jimmy Connors,Pete Sampras,John McEnroe,Bobby Riggs,D,False,0.37866044,0.33416668,0.08449057,0.20268233
Which of the following structures is most susceptible to damage by acid precipitation?,A monument made of granite,A roof made of slate,A tombstone made of marble,A statue made of gabbro,C,False,0.9844698,0.010936471,0.0021535188,0.0024402568
Who is an archenemy of the cartoon superhero Underdog?,OverCat,Muttley,Mr Whoopie,Dick Dastardly,A,True,0.91080916,0.051384337,0.01890324,0.01890324
Mohair is made from the fleece of what animal?,camel,llama,goat,mole,C,False,0.5324297,0.15254366,0.2849891,0.030037628
"The Burgess Shale is a rock formation in Canada that has a large number of fossils from the Cambrian period preserved in exquisite detail. Many primitive members of modern phyla, including arthropods, mollusks, and chordates, can be found among the fossils exposed in this region. Based on these fossils, it can be concluded that most of the modern groups of animal life first appeared roughly",3 billion years ago,540 million years ago,65 million years ago,"200,000 years ago",B,True,0.35534388,0.585863,0.033052128,0.025741024
The Strauss family of composers popularized what dance?,waltz,tango,fox-trot,square dance,A,True,0.97319466,0.02019801,0.003509888,0.0030974655
What was Ludwig Van Beethoven's final symphony?,Ninth,Tenth,Eleventh,Twelfth,A,True,0.64681107,0.11239891,0.07725057,0.16353945
A portrait that comically exaggerates a person's physical traits is called a what?,Landscape,Caricature,Still life,Impressionism,B,True,0.012385057,0.98386693,0.003131433,0.0006166157
The government establishes a price floor in a market for a good in order to,eliminate a surplus in the market,eliminate a shortage in the market,help buyers of the good,help sellers of the good,D,False,0.25775418,0.61832017,0.10744794,0.016477674
A student is standing in front of the class delivering a presentation. Some students in the back of the room note that they are having trouble hearing what the presenter is saying. Which of the following suggestions to the presenter would best address this problem?,Engage your audience by making eye contact with people in the back of the room,Entertain your audience with exaggerated body language,Emphasize your main points by reading them directly from a paper,Project your voice by relaxing the rib cage and maintaining good posture,D,False,0.6895927,0.119833246,0.016217668,0.17435634
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?",Foreshadowing,Irony,Flashback,Personification,D,False,0.6525594,0.21185501,0.047271248,0.08831431
Which of these is not one of the 3 methods of heat transfer?,Conduction,Radiation,Convection,Induction,D,False,0.46761727,0.46761727,0.026381161,0.038384363
Which of these is not an ingredient in Yorkshire pudding?,eggs,milk,chocolate,meat drippings,C,False,0.94886154,0.011944404,0.0105409,0.028653136
"Anna feels that she is confusing ""who"" and ""whom"" in her narrative. She wants to correct her error. Which of the following reference materials will best help Anna accomplish such a task?",A dictionary,A thesaurus,A glossary,A grammar guide,D,False,0.9845782,0.0066340356,0.002153756,0.0066340356
Where was the chicken First domesticated?,France,India,Peru,Zaire,B,False,0.91338927,0.07497556,0.0037328133,0.007902365
Which of the following is not in Nevada?,Liberace Museum,Pikes Peak,Lake Mead,Hoover Dam,B,False,0.9530643,0.041874725,0.0016236593,0.0034372867
What famous folksinger founded the Institute for the Study of Non-Violence in 1965?,Bob Dylan,Woody Guthrie,Joan Baez,Peter Yarrow,C,False,0.73469704,0.2385212,0.007202716,0.019579012
Phoebe Dione and Helene are moons of what planet?,Jupiter,Saturn,Neptune,Pluto,B,False,0.7874611,0.15506029,0.03053318,0.026945436
Which of these companies is not an online stock brokerage?,E*Trade,EDigital,Datek Online,DLJ Direct,B,False,0.74343556,0.11400954,0.041941766,0.10061306
Which of these is not the name of one of rock musician Frank Zappa's children?,Dweezil,Ahmet,Moon Unit,Lumpy Gravy,D,True,0.06188334,0.054611854,0.02923162,0.85427314
How much does Peanuts character Lucy charge for her psychiatric advice?,5 cents,10 cents,75 cents,$125,A,True,0.45625615,0.45625615,0.061747555,0.02574021
Which of the following is the most reasonable action to take for an artist whose work requires the use of a specific hazardous product?,Finding a nontoxic product to use and adapting the art-making process as necessary,Reading the product's label and proceeding according to the label directions,Making sure no children are present when using the product,Checking with a qualified toxicologist before using the material,B,False,0.97977316,0.012333524,0.0027519811,0.005141378
What children's storybook character believes that the sky is falling?,Chicken Little,Curious George,Jack Sprat,Tom Thumb,A,True,0.98102784,0.012349318,0.005147962,0.0014749157
Pop icon Tiny Tim was famous for playing what musical instrument?,ukulele,kazoo,accordion,fiddle,A,True,0.98020315,0.017953048,0.0011476999,0.0006961152
Which of the following is the highest level taxonomic rank?,Domain,Class,Phylum,Kingdom,A,True,0.84772485,0.025599074,0.047825363,0.0788507
When daylight-saving time arrives in the spring how do most Americans turn their clocks?,one hour forward,one hour backward,two hours forward,two hours backward,A,True,0.9543753,0.032656927,0.010602152,0.00236566
Which of these fashion designers was born in the United States?,Laura Ashley,Helmut Lang,Donna Karan,Christian Dior,C,False,0.003893365,0.08861258,0.1655501,0.741944
Who was on the $500 bill?,Calvin Coolidge,Andrew Jackson,Aaron Burr,William McKinley,D,False,0.8147982,0.09731377,0.0520883,0.035799734
For a man and woman on a date 'dutch treat' means what?,The man pays,The woman pays,The Dutch pay,Each pays their own way,D,False,0.9797365,0.01397519,0.0051411856,0.0011471534
What city's residents are known as 'Knickerbockers'?,Boston,Philadelphia,New York City,London,C,True,0.10891176,0.07485389,0.8047551,0.011479215
Which of these college football programs has produced the most Heisman Trophy winners?,Notre Dame,USC,Oklahoma,Michigan,A,True,0.88535655,0.07267449,0.023593953,0.018374989
What does a pH level measure?,acidity,density,wavelength,humidity,A,True,0.9893936,0.0066664815,0.0024524615,0.001487493
If a hertz is equal to one cylce per second how many cycles per second does a megahertz equal?,-328716,1000,1000000,1000000000,C,False,0.09727992,0.7188068,0.059003256,0.12490989
"Every day was a happy day, and every night was peaceful. The sentence above can best be classified as",simple,compound,complex,compound-complex,B,False,0.90646243,0.03514736,0.027372794,0.031017438
Which of these holidays is not attached to a specific date?,Independence Day,New Year's Day,Thanksgiving,Christmas,C,False,0.9278668,0.040767625,0.0033464103,0.02801915
Where is the Louvre museum?,Paris,Lyon,Geneva,Vichy,A,True,0.9929219,0.0045981403,0.001162592,0.0013173893
Which of the following guidance systems is principally a materials-handling device?,Escalator,Conveyor,Highway,Railroad,B,False,0.6516274,0.307807,0.028630512,0.011934973
"A preschool teacher is teaching students about a color wheel, which is an organization of hues around a circle. Red, yellow, and blue are examples of which of the following kinds of colors on the color wheel?",Complementary,Primary,Secondary,Tertiary,B,False,0.8524241,0.13072348,0.013778152,0.0030743214
A second-grade teacher has each student select a card at random that is marked with a three-digit number. Students then model their numbers with base ten blocks on a place value mat. Which of the following whole number concepts does the lesson best reinforce?,Comparing quantities,Describing quantities,Ordering quantities,Decomposing quantities,D,False,0.76110125,0.16982464,0.05513399,0.013940056
Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,Fancy Feast,Cat Chow,Meow Mix,9-Lives,C,False,0.9819496,0.012360922,0.002148006,0.0035414633
In the phrase 'Y2K' what does 'K' stand for?,millennium,computer code,catastrophe,thousand,D,False,0.96658295,0.029188277,0.0021143917,0.0021143917
What is the approximate speed of light?,165 miles per hour,122000 miles per hour,186000 miles per second,293000 miles per second,C,False,0.57055426,0.3053957,0.07721612,0.046833944
Which of these people was buried in the Valley of the Kings?,Louis XIV,Elvis Presley,Julius Caesar,King Tut,D,True,0.0001563136,0.0075316112,0.0058656246,0.9864464
After Prince Charles who is next in line to be the king of England?,Prince William,Prince Andrew,Prince Edward,Fresh Prince,A,True,0.8532666,0.11547708,0.015628124,0.015628124
The disco band ABBA comes from what country?,Norway,Sweden,Switzerland,The Netherlands,B,True,0.017781526,0.9708384,0.007412443,0.003967595
When it's noon in New York during daylight-saving time what time is it in Honolulu?,6:00 AM,6:30 AM,7:00 AM,8:00 AM,A,False,0.10068176,0.51130414,0.1464911,0.24152297
"The total retail market value of all the goods and services produced in a nation, usually stated in annual terms, is the",ratio of profit to sales,current ratio,gross domestic product,trade surplus,C,True,0.09467527,0.20042756,0.37444797,0.33044916
What is the world’s most venomous fish?,Scorpion fish,Lion fish,Stonefish,Toadfish,C,False,0.7282347,0.18412657,0.04108419,0.046554487
What force causes an ice cream cone to fly off of a spinning merry-go-round?,centrifugal,Vehicular,Gravitational,Torsal,A,True,0.47894785,0.37300497,0.06481854,0.083228655
Which of these words is spelled correctly?,decieve,foriegn,hygiene,wierd,C,False,0.8124376,0.031501625,0.014880314,0.14118049
The term 'chili con carne' refers to chili with what?,beans,meat,cheese,chili peppers,B,False,0.92334664,0.066887006,0.00549042,0.004275943
At what age can someone first attend an R-rated movie without an accompanying adult?,15,17,18,21,B,False,0.7439145,0.21313508,0.025455354,0.017495193
On TV's 'Seinfeld' what type of doctor did Mr Costanza go to when he sat on 'fusilli Jerry'?,ophthalmologist,cardiologist,neurologist,proctologist,D,False,0.8958776,0.0944248,0.0060363756,0.003661247
In the comic strip 'Peanuts' what is Schroeder known for doing?,Dancing,playing football,playing the piano,Flying an imaginary plane,C,True,0.10383135,0.3198231,0.5272991,0.04904646
How is the Arabic numeral for '2' written?,2,II,I,ii,A,True,0.95236653,0.036927257,0.00343477,0.007271408
What country gave us the fashionable headgear called the beret?,Switzerland,China,Mexico,France,D,True,0.0004295201,0.0014991724,0.00090929406,0.997162
How many spikes are on the Statue of Liberty's crown?,five,seven,nine,thirteen,B,False,0.7767194,0.19638541,0.008628573,0.018266689
In a game with no wild cards what is the highest possible poker hand?,straight flush,royal flush,full house,four of a kind,B,False,0.78487885,0.17513014,0.023701288,0.01628964
Moderate and frequent irrigation is normally most appropriate for a corn crop growing in a,dispersed alluvial fan soil,"heavy-textured soil, such as silty clay","light-textured soil, such as loamy sand",region of low humidity,C,False,0.52201277,0.16947274,0.1164768,0.19203778
What is the capital of North Dakota?,Bismarck,Fargo,Sioux Falls,Pierre,A,True,0.9636396,0.032973934,0.0012785381,0.0021079532
A fiscal policy to combat a recession would call for,an increase in taxes,an increase in government spending,a decrease in the reserve requirement,a decrease in the discount rate,B,True,0.15729226,0.798796,0.016578482,0.027333295
An electric fence installed to keep both mature cattle and sheep in a field should have a wire placed at which of the following heights? I. 6 inches II. 18 inches III. 40 inches IV. 60 inches,I only,II only,II and III only,III and IV only,C,False,0.11838213,0.321796,0.19517915,0.36464265
How much chicken excrement is produced in the United States every year?,4*10^10 kg,4*10^12 kg,4*10^14 kg,4*10^16 kg,A,False,0.34946495,0.4487219,0.11345466,0.08835858
According to the American Kennel Club what is the most popular breed Of dog in the US as of 1999?,Poodle,Beagle,German shepherd,Labrador retriever,D,False,0.80823016,0.08518683,0.04023941,0.06634357
What singer appeared in the 1992 baseball film 'A League of Their Own'?,Brandy,Madonna,Garth Brooks,Whitney Houston,B,True,0.13196677,0.8605314,0.0039850506,0.003516795
How is the word 'ambulance' normally written on the front of American ambulances?,in French,in reverse,in braille,in gibberish,B,False,0.34031472,0.23389466,0.16075328,0.26503736
What is the colored part of the eye called?,iris,pupil,retina,cochlea,A,True,0.9969645,0.0024712281,0.00022986,0.00033444434
If you work as a 'dolly grip' what business are you in?,sheep farming,film production,construction,moving,B,True,0.09499006,0.90124065,0.0022339523,0.0015353714
Who was the longest reigning monarch in French history?,Louis XIII,Louis XIV,Louis XV,Louis XVI,B,True,0.428029,0.4850204,0.065640375,0.021310309
The principles of xeriscaping are best exemplified by a homeowner who,installs an in-ground sprinkler system that operates on a timer,lowers the cutting height on the lawn mower to reduce the surface area in contact with the cutting blade,increases the use of fertilizer on the turfgrass to promote growth,replaces nonnative ornamentals with native shrubs that do not require irrigation,D,True,0.005119442,0.015768992,0.0035185376,0.975593
