0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptalpaca_choiceD_probs
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.013112089,0.9785136,0.007952884,0.00042148744
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?","Design and construct a threedimensional model of a low-income, multifamily dwelling unit",Describe several construction careers that are related to home building,Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,False,0.19600898,0.22210728,0.4702011,0.11168255
Who was the first US president to resign from that office?,Martin Van Buren,Andrew Jackson,Andrew Johnson,Richard Nixon,D,False,0.15390792,0.17440052,0.47406977,0.19762167
How much kale would be needed to provide enough calories for a person for an entire year?,2*10^3 kg/yr,2*10^4 kg/yr,2*10^5 kg/yr,2*10^6 kg/yr,A,False,0.18758781,0.3504602,0.39712343,0.06482862
How long has the average United States citizen spent as president?,1 seconds,10 seconds,1 minute,10 minutes,B,False,0.20378566,0.2169287,0.48885638,0.090429336
What is the proletariat?,the homeless,the royalty,the upper class,the working class,D,True,0.0363073,0.038648922,0.098693475,0.82635033
According to the proverb necessity is the mother of what?,Invention,Luck,Problems,Procrastination,A,False,0.3103131,0.2416721,0.37430906,0.07370582
What rank entitles a general in the US Army to wear three stars?,brigadier general,corporal general,lieutenant general,major general,C,True,0.03157296,0.09135939,0.81427735,0.06279033
What is another way of writing-'six feet'?,6',6,6'',6#,A,False,0.31100178,0.48168898,0.1886321,0.018677108
"In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?",Rafters,Studs,Headers,Joists,B,True,0.30595294,0.3256852,0.22383995,0.14452194
What part of the world was once known as Cathay?,China,India,Iran,Indonesia,A,True,0.87065375,0.09176622,0.03171356,0.0058664186
What is a shaddock?,a fish the offspring of a male shad and a female haddock,"a crystal such as quartz, that sticks out from a mineral vein",a plant that is a member of the nightshade family,a grapefruit,D,True,0.07826779,0.13736425,0.24108176,0.54328614
How many innings are there in a regular Major League Baseball game?,seven,eight,nine,ten,C,False,0.27016222,0.47414947,0.23841733,0.017270893
"Which of the following statements is correct about a trophic structure in which a leaf-eating grasshopper is eaten by a frog, which in turn is eaten by a snake?",The frog is a herbivore.,The snake is a secondary consumer.,The grasshopper is a primary consumer.,The snakes outnumber the grasshoppers in the community.,C,False,0.12913044,0.61604685,0.2129001,0.041922513
"People who believe their political views are important, that government will respect these views, and that their views can influence political affairs are said to have a strong sense of",political partisanship,political alienation,political allegiance,political efficacy,D,True,0.044830643,0.017555932,0.037165906,0.90044755
What was the average life expectancy of white males born in the U.S. just before the Civil War?,40 years,50 years,60 years,70 years,A,False,0.15331377,0.32456526,0.41675004,0.10537091
"What does the Yiddish word""'meshuga' mean?",crazy,sacred,stingy,sweet,A,True,0.7689019,0.15140577,0.0761316,0.003560722
What is the last letter of the Greek alphabet?,omicron,omega,upsilon,zeta,B,True,0.21584295,0.5511743,0.19048074,0.042501997
An elementary school student is able to follow fast and slow songs by playing appropriate rhythm patterns on the drum. Which of the following attributes of music does the student understand?,Dynamics,Pitch,Tempo,Harmony,C,True,0.20268232,0.33416665,0.3786604,0.08449056
When FDR carried states in the presidential election of 1932 how many states did he not carry?,six,seven,eight,ten,A,False,0.21925849,0.49410662,0.20597428,0.080660686
Which of these is a member of the cucumber family?,green pepper,watermelon,potato,green bean,B,True,0.2686943,0.36726156,0.2371219,0.1269222
"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it's wrong what they say about the past, I've learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years. The excerpt is an example of which of the following types of writing?",Informative,Persuasive,Descriptive,Narrative,D,False,0.0982486,0.11851043,0.44031966,0.3429213
Which of the following defenses may NOT be used to legally avoid payment on a negotiable instrument?,Breach of contract,Diminished economic resources,Fraud in the inducement,Mental incapacity,B,False,0.2360651,0.2360651,0.3656248,0.16224502
"Simple accompaniments, light texture and smooth melodies are qualities of",galant style,partitas,Sturm und Drang,serenade,A,True,0.49720788,0.2661362,0.11094208,0.12571384
Which of the following is true about a monopoly?,It competes with many firms selling the same product in the market.,It has to lower its price on all units to sell more output.,Its marginal revenue increases as output sold increases.,It sets a price below average variable cost to drive its competitors out of the market.,B,False,0.14083087,0.1096792,0.192493,0.55699694
Which of these names has never belonged to a Pope?,Leo,Lando,Linus,Lawrence,D,False,0.22017163,0.28270596,0.38641322,0.11070924
Which of the following best helps explain why some localities have normally large tidal ranges (up to 60 feet) and others have one- to two-foot tidal ranges?,The position of the Sun is different at different localities.,The Coriolis effect and rotation of Earth tend to enhance tidal flow in the higher latitudes.,Ocean floor topography and the shape of the coastline serve to amplify tidal flow at specific localities.,Trade winds push the water into large tidal bulges near rocky shorelines.,C,True,0.06157741,0.21492629,0.70471615,0.018780049
"Which of these is typically not ""used as a spice?",Dill,Thyme,Hemlock,Marjoram,C,True,0.120473996,0.07307117,0.69328,0.11317485
Who is the patron saint of animals?,St Isidore of Seville,St Anthony of Padua,St Francis of Assisi,St Joan of Arc,C,True,0.07866263,0.07389669,0.8457029,0.0017378837
The dissolved salts in Earth's oceans are principally derived from,marine biological activity,atmospheric deposition,the weathering of continental rocks,the eruptions of undersea hot-spot volcanoes,C,False,0.101084836,0.42558306,0.42558306,0.0477491
What is the baseball term for a batter who substitutes for another batter?,Switchhitter,Shadow hitter,Clip hitter,Pinch hitter,D,True,0.011790689,0.010405246,0.04115355,0.93665045
In 1960 Nazi official Adolph Eichmann was finally captured in what country?,Brazil,East Germany,Argentina,Paraguay,C,True,0.13877659,0.20191874,0.6219535,0.03735121
What is the square root of 81 squared?,9,27,81,729,C,True,0.21507803,0.33311936,0.37747368,0.074328974
Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?,Absorption lines in the solar spectrum are consistent with the presence of sodium.,Stars with the same spectral class as the Sun are made mostly of sodium.,Solar samples returned to Earth by the Voyager spacecraft contained sodium.,The Sun gives off energy produced by the nuclear fusion of sodium in its core,A,True,0.6774813,0.20662013,0.08613209,0.029766452
What letters are on the '3' button of a touch-tone telephone?,ABC,DEF,GHI,WXY,B,True,0.13507208,0.41605133,0.2523479,0.19652873
"To best encourage student engagement in the classroom, a teacher should select texts based on which of the following?",The instructional objectives,The culture of the local community,The instructional reading level of the class,Topics that are interesting for the students,D,True,0.07816172,0.07342614,0.10683441,0.74157774
When born a Dalmatian puppy is always?,Black,black with white spots,white,white with black spots,C,False,0.13384633,0.7235664,0.10423963,0.038347617
Which of these countries is not in Europe?,Italy,Spain,Greece,Israel,D,True,0.24842569,0.052072853,0.10355923,0.59594226
What famous radio personality was also the voice of Shaggy on the cartoon 'Scooby-Doo'?,Rush Limbaugh,Casey Kasem,Larry King,Howard Stern,B,True,0.04144789,0.8861949,0.064195745,0.008161573
Many scientists think that some of the dinosaurs did not go extinct but rather evolved into what kind of creature?,amphibians,reptiles,birds,mammals,C,True,0.06555356,0.06555356,0.85011154,0.01878141
What are fans of the TV show 'Mystery Science Theater 3000' known as?,Mysterians,MiSTies,Bot Brigade,Gizmonics,B,True,0.11948786,0.8294101,0.041293897,0.00980816
What automobile company makes the Sonata?,Toyota,Honda,Subaru,Hyundai,D,True,0.049029313,0.016944077,0.117615215,0.8164114
Force equals mass times what?,Velocity,Distance,Acceleration,Weight,C,True,0.14102091,0.21841745,0.4080575,0.23250417
To create a tapestry one must traditionally engage in what activity?,Weaving,Sculpting,Baking,Singing,A,True,0.93442917,0.052716885,0.01105006,0.0018038726
What element do organic compounds contain?,Carbon,Oxygen,Hydrogen,Nitrogen,A,True,0.95935655,0.019910809,0.019910809,0.00082181726
What is the technical term for someone who studies fish?,entomologist,ichthyologist,marinologist,herpetologist,B,True,0.030845145,0.95956427,0.009407236,0.00018341193
A person uses a remote control to change the volume level on a television. The signal that travels from the remote to the television is most likely encoded in a,visible light pulse,radio wave signal,series of infrared pulses,series of intense infrared beams,C,True,0.1070284,0.17646,0.6979128,0.018598747
When it comes to measuring horses how long is a 'hand'?,four inches,seven inches,ten inches,two feet,A,False,0.21304265,0.4510113,0.24140896,0.0945371
What is the (approximate) value of lemon juice on the pH scale?,14,2,7,0,B,False,0.13859053,0.21465321,0.6211196,0.025636667
Which of the following best describes the situation after the price is raised on a product that has an inelastic demand?,The quantity demanded will not change.,The quantity demanded will increase.,Total revenue will decrease.,Total revenue will not change.,A,False,0.2827061,0.4378638,0.22017175,0.05925842
Which of the following statements reflects the Confucian worldview that figured prominently in classical Chinese culture?,Having faith in God will be rewarded in the afterlife.,Life's ultimate goal is to escape the suffering inherent in the endless cycle of death and reincarnation.,A life of quiet contemplation and isolation from worldly temptations will result in self-perfection.,Observing rules of proper behavior toward others will ensure social and political harmony.,D,True,0.034042865,0.038575616,0.15256953,0.774812
Which of these Democrats lost to Ronald Reagan in the 1984 presidential elections?,Michael Dukakis,Walter Mondale,Gary Hart,Jimmy Carter,B,True,0.2714155,0.5070709,0.16462182,0.05689178
Real gross domestic product (GDP) is defined as the ratio of nominal GDP to the,money supply,unemployment rate,government's budget deficit,GDP deflator,D,True,0.09544003,0.084225535,0.11512265,0.70521176
Which of these is another name for a golf course?,Pitch,Links,Steps,Suite,B,True,0.06199147,0.91095805,0.025841892,0.0012086413
"When Corporation X pays out $300,000 in salaries, which of the following is the impact on assets and liabilities?","Salary expense is increased by $300,000; cash is increased by $300,000","Salary expense is increased by $300,000; cash is decreased by $300,000","Salary expense is decreased by $300,000; cash is increased by $300,000","Salary expense is decreased by $300,000; cash is decreased by $300,000",B,True,0.29627594,0.35737702,0.26146263,0.08488448
Who was not one of the Cartwright sons on the TV series 'Bonanza'?,Adam,Little Joe,Hoss,Ben,D,True,0.29398188,0.14782336,0.13045366,0.42774108
How long is a single term in the US Senate?,two years,four years,six years,eight years,C,False,0.13442706,0.49945712,0.32247376,0.043642074
On what body part should you wear a babushka?,head,hands,foot,legs,A,True,0.77626705,0.1732086,0.036306497,0.0142178275
A kindergarten teacher has students determine the following. • How many students are absent that day • If there are enough snack cups for each student to have one during snack time • How many balls are taken outside during recess and how many are brought back inside after recess. Which of the following concepts is most closely aligned with the determinations the teacher is having the students make?,Classifying,Counting,Patterning,Ordering,B,True,0.19495127,0.41271186,0.2664668,0.12587
"Grammar may be taught in two main ways— by experience with discourse that entails the varieties of word forms and sentence construction, or by analyzing dummy sentences and diagramming parts. Plentiful discursive experience is what really teaches grammar, for it exercises judgment and provides language intake, whereas formal grammar study has been proved irrelevant. Politics more than pedagogy retards the changing of the curriculum to fit this truth. The author of the passage above argues that",using language in a wide variety of situations improves grammar,good judgment can be improved by studying the rules of formal grammar,analyzing and diagramming provide exercise in logical thinking,formal study of grammar improves writing ability,A,True,0.5540389,0.29655567,0.116132855,0.03327262
Who was the mother of the Greek god Zeus?,Gaia,Phoebe,Rhea,Hera,C,True,0.06917121,0.09454584,0.79162264,0.044660293
Which of these evangelists is a cousin of rocker Jerry Lee Lewis?,Billy Graham,Oral Roberts,Jerry Falwell,Jimmy Swaggart,D,False,0.19117503,0.29609767,0.21662968,0.29609767
Which of the following prescribes standards for wages and overtime pay that affect most private and public employment?,The Employee Retirement Income Security Act,The American Recovery and Reinvestment Act,The Fair Labor Standards Act,The Federal Employees' Compensation Act,C,True,0.023877542,0.021071859,0.9537851,0.0012654634
What organelle is primarily responsible for photosynthesis?,Nucleus,Chloroplast,Mitochondria,Golgi Apparatus,B,True,0.017789539,0.9712759,0.010789901,0.00014458474
In what city is TV's 'The Mary Tyler Moore Show' set?,Dallas,Chicago,New York,Minneapolis,D,False,0.05128926,0.7536902,0.07943836,0.11558214
What Greek poet wrote 'The Iliad' and 'The Odyssey'?,Sophocles,Plato,Homer,Socrates,C,True,0.017689627,0.013776694,0.96582085,0.002712792
What is Delta Burke's character's job on the sitcom 'Designing Women'?,fashion designer,graphic designer,interior designer,website designer,C,True,0.28796807,0.3065404,0.39360565,0.011885861
Which of the following activities will best help a teacher collect data that will inform instruction to meet the individual needs of students?,Concentric circles,K-W-L chart,Book pass,Reciprocal teaching,B,False,0.06503162,0.0692258,0.12149507,0.7442475
On average what length of time passes between high tides?,3 hours 25 minutes,6 hours 25 minutes,12 hours 25 minutes,24 hours 25 minutes,C,False,0.17801897,0.42704532,0.29350367,0.10143215
An increase in the real interest rate in the United States relative to its trading partners will most likely result in which of the following?,An increase in United States imports,An increase in United States exports,A decrease in the demand for the United States dollar,A decrease in the United States trade deficit,A,False,0.24922204,0.34064612,0.24922204,0.16090983
The legal basis for the escalation of United States involvement in the Vietnam War was the,declaration of war by Congress,passage of the Gulf of Tonkin Resolution by Congress,United Nations resolution condemning the North Vietnamese invasion of South Vietnam,mutual defense provisions of the North Atlantic Treaty Organization (NATO),B,True,0.034967,0.9018108,0.061369,0.001853183
What professional sports team plays its home games in the Alamodome?,New York Jets,Detroit Tigers,Boston Bruins,San Antonio Spurs,D,True,0.011901826,0.008179997,0.034439076,0.9454791
What is the name of Howard Stern's female on-air sidekick?,Allison Norris,Jackie Reeses,Jackie Martling,Robin Quivers,D,True,0.07141865,0.11061537,0.21998493,0.59798104
In what decade did Israel become an independent state?,1920s,1940s,1950s,1960s,B,False,0.11632179,0.2621352,0.48973304,0.13180986
In cooking the term 'au gratin' is sometimes used to describe a dish with what topping?,cheese,fruit,gravy,whipped cream,A,True,0.9480335,0.036759246,0.014395128,0.0008121176
Which of the following is the most effective way to evaluate the development of a student's drafting skills throughout the school year?,Baseline assessment,Portfolio assessment,Short-answer unit assessment,Teacher-created assessment,B,True,0.358482,0.48998678,0.12388806,0.027643163
In the sci-fi movie 'Fantastic Voyage' where do the voyagers travel?,through outer space,through a human body,to the ocean floor,to the center of the earth,B,True,0.13731608,0.79019946,0.069046855,0.0034376406
What would be the most likely thing one would do with the compound MgSO4 7H2O?,power a car,blow up a building,soak ones feet,fertilize a lawn,C,True,0.12823321,0.12046396,0.539882,0.21142082
Who originally proposed the idea of daylight-saving time?,Benjamin Franklin,Henry David Thoreau,Galileo,Albert Einstein,A,False,0.35637802,0.37936243,0.14856046,0.11569901
If you ask for 'gai' at a Thai restaurant what will you get?,shrimp,chicken,beef,pork,B,True,0.23505996,0.4391498,0.2663578,0.05943246
On a set of jumper cables what color designates the negative connector?,black,red,orange,blue,A,False,0.21582289,0.70765597,0.061834287,0.014686931
Which of these is a commonly-known investment account?,CNN,EMC,IRA,IRS,C,True,0.07558721,0.085651524,0.81263906,0.02612224
If you are 'riding fakie' inside a 'half pipe' what are you probably doing?,skiing,biking,snowboarding,surfing,C,True,0.12693287,0.30449617,0.5344074,0.03416352
Which of these people was not alive in the 20th century?,Mark Twain,Thomas Edison,Sigmund Freud,Ulysses S Grant,D,True,0.18753317,0.14605099,0.18753317,0.47888273
What color is cartoon character Marge Simpson's hair?,yellow,purple,blue,brown,C,False,0.70640725,0.115317814,0.10833106,0.06994379
Which of these is not a fabric?,Velveteen,Celotex,Seersucker,Tencel,B,True,0.27061713,0.32642657,0.2388188,0.16413759
How is 4:00 pm expressed in military time?,1600,4,400,4:00,A,False,0.25912067,0.17809084,0.10801756,0.45477092
Which of the following is most likely to cause a rise in the average temperature of Earth's atmosphere in the future?,Atomic warfare,CO2 from fossil fuels,Dust clouds from volcanoes,Depletion of Earth's ozone layer,B,True,0.02377722,0.9497777,0.02377722,0.0026677302
Which of the following activities is likely to have the greatest impact on biodiversity?,Copper mining in Chile,Soil erosion on the slopes of the Rocky Mountains,Large-scale deforestation of the Amazon or Congo basin tropical forests,Increased use of ethanol fuels in the United States,C,True,0.077913195,0.060678855,0.8376457,0.023762181
Whom did Billie Jean King defeat in the famous 'Battle of the Sexes' tennis match?,Jimmy Connors,Pete Sampras,John McEnroe,Bobby Riggs,D,True,0.03391254,0.028114485,0.06335697,0.87461597
Which of the following structures is most susceptible to damage by acid precipitation?,A monument made of granite,A roof made of slate,A tombstone made of marble,A statue made of gabbro,C,False,0.34110045,0.3204342,0.2827822,0.055683117
Who is an archenemy of the cartoon superhero Underdog?,OverCat,Muttley,Mr Whoopie,Dick Dastardly,A,False,0.20416264,0.33660728,0.1801729,0.27905723
Mohair is made from the fleece of what animal?,camel,llama,goat,mole,C,True,0.14620902,0.29077137,0.5432324,0.019787239
"The Burgess Shale is a rock formation in Canada that has a large number of fossils from the Cambrian period preserved in exquisite detail. Many primitive members of modern phyla, including arthropods, mollusks, and chordates, can be found among the fossils exposed in this region. Based on these fossils, it can be concluded that most of the modern groups of animal life first appeared roughly",3 billion years ago,540 million years ago,65 million years ago,"200,000 years ago",B,False,0.42030188,0.3709151,0.18650784,0.022275183
The Strauss family of composers popularized what dance?,waltz,tango,fox-trot,square dance,A,True,0.39766425,0.19995815,0.37357098,0.028806703
What was Ludwig Van Beethoven's final symphony?,Ninth,Tenth,Eleventh,Twelfth,A,True,0.890136,0.060574517,0.04431726,0.004972259
A portrait that comically exaggerates a person's physical traits is called a what?,Landscape,Caricature,Still life,Impressionism,B,True,0.009082979,0.9862424,0.0045672082,0.000107410444
The government establishes a price floor in a market for a good in order to,eliminate a surplus in the market,eliminate a shortage in the market,help buyers of the good,help sellers of the good,D,False,0.15624341,0.29190114,0.3748085,0.17704698
A student is standing in front of the class delivering a presentation. Some students in the back of the room note that they are having trouble hearing what the presenter is saying. Which of the following suggestions to the presenter would best address this problem?,Engage your audience by making eye contact with people in the back of the room,Entertain your audience with exaggerated body language,Emphasize your main points by reading them directly from a paper,Project your voice by relaxing the rib cage and maintaining good posture,D,True,0.13256943,0.15022086,0.1928874,0.5243223
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?",Foreshadowing,Irony,Flashback,Personification,D,True,0.24354985,0.214932,0.22879392,0.3127242
Which of these is not one of the 3 methods of heat transfer?,Conduction,Radiation,Convection,Induction,D,True,0.15823987,0.09597734,0.079568006,0.66621476
Which of these is not an ingredient in Yorkshire pudding?,eggs,milk,chocolate,meat drippings,C,True,0.2229613,0.06799935,0.6451599,0.06387948
"Anna feels that she is confusing ""who"" and ""whom"" in her narrative. She wants to correct her error. Which of the following reference materials will best help Anna accomplish such a task?",A dictionary,A thesaurus,A glossary,A grammar guide,D,True,0.25058064,0.08659836,0.09812879,0.5646922
Where was the chicken First domesticated?,France,India,Peru,Zaire,B,True,0.2438637,0.3777035,0.29415578,0.08427704
Which of the following is not in Nevada?,Liberace Museum,Pikes Peak,Lake Mead,Hoover Dam,B,False,0.42155766,0.39601678,0.09406223,0.08836329
What famous folksinger founded the Institute for the Study of Non-Violence in 1965?,Bob Dylan,Woody Guthrie,Joan Baez,Peter Yarrow,C,True,0.1604177,0.3396043,0.46418402,0.035794027
Phoebe Dione and Helene are moons of what planet?,Jupiter,Saturn,Neptune,Pluto,B,True,0.3503213,0.47883242,0.15545413,0.015392044
Which of these companies is not an online stock brokerage?,E*Trade,EDigital,Datek Online,DLJ Direct,B,False,0.20857841,0.28509286,0.34388766,0.16244103
Which of these is not the name of one of rock musician Frank Zappa's children?,Dweezil,Ahmet,Moon Unit,Lumpy Gravy,D,True,0.18529193,0.08752571,0.11963346,0.60754883
How much does Peanuts character Lucy charge for her psychiatric advice?,5 cents,10 cents,75 cents,$125,A,False,0.31251654,0.27579486,0.33267212,0.07901655
Which of the following is the most reasonable action to take for an artist whose work requires the use of a specific hazardous product?,Finding a nontoxic product to use and adapting the art-making process as necessary,Reading the product's label and proceeding according to the label directions,Making sure no children are present when using the product,Checking with a qualified toxicologist before using the material,B,True,0.26770037,0.28496557,0.16236849,0.28496557
What children's storybook character believes that the sky is falling?,Chicken Little,Curious George,Jack Sprat,Tom Thumb,A,True,0.74962455,0.13026522,0.10799366,0.012116552
Pop icon Tiny Tim was famous for playing what musical instrument?,ukulele,kazoo,accordion,fiddle,A,True,0.3943181,0.21106328,0.2884893,0.10612928
Which of the following is the highest level taxonomic rank?,Domain,Class,Phylum,Kingdom,A,False,0.21337847,0.04761117,0.12157939,0.61743104
When daylight-saving time arrives in the spring how do most Americans turn their clocks?,one hour forward,one hour backward,two hours forward,two hours backward,A,True,0.90486044,0.07906582,0.014625707,0.0014481411
Which of these fashion designers was born in the United States?,Laura Ashley,Helmut Lang,Donna Karan,Christian Dior,C,True,0.20471497,0.31706876,0.33751792,0.1406984
Who was on the $500 bill?,Calvin Coolidge,Andrew Jackson,Aaron Burr,William McKinley,D,False,0.2364487,0.5328454,0.18414645,0.04655951
For a man and woman on a date 'dutch treat' means what?,The man pays,The woman pays,The Dutch pay,Each pays their own way,D,True,0.12872195,0.1370238,0.25599417,0.47826007
What city's residents are known as 'Knickerbockers'?,Boston,Philadelphia,New York City,London,C,True,0.02874716,0.015387245,0.95197517,0.003890505
Which of these college football programs has produced the most Heisman Trophy winners?,Notre Dame,USC,Oklahoma,Michigan,A,False,0.3054269,0.32512525,0.3054269,0.06402096
What does a pH level measure?,acidity,density,wavelength,humidity,A,True,0.85975665,0.1093058,0.027636833,0.0033007488
If a hertz is equal to one cylce per second how many cycles per second does a megahertz equal?,-328716,1000,1000000,1000000000,C,False,0.12934569,0.45146078,0.33029577,0.0888979
"Every day was a happy day, and every night was peaceful. The sentence above can best be classified as",simple,compound,complex,compound-complex,B,True,0.19215041,0.35898423,0.31680247,0.13206293
Which of these holidays is not attached to a specific date?,Independence Day,New Year's Day,Thanksgiving,Christmas,C,True,0.20961304,0.26914847,0.3678823,0.15335616
Where is the Louvre museum?,Paris,Lyon,Geneva,Vichy,A,True,0.9889032,0.006259476,0.0040414217,0.0007958031
Which of the following guidance systems is principally a materials-handling device?,Escalator,Conveyor,Highway,Railroad,B,True,0.051124994,0.8513076,0.089727156,0.007840271
"A preschool teacher is teaching students about a color wheel, which is an organization of hues around a circle. Red, yellow, and blue are examples of which of the following kinds of colors on the color wheel?",Complementary,Primary,Secondary,Tertiary,B,True,0.10915837,0.5901045,0.19157888,0.10915837
A second-grade teacher has each student select a card at random that is marked with a three-digit number. Students then model their numbers with base ten blocks on a place value mat. Which of the following whole number concepts does the lesson best reinforce?,Comparing quantities,Describing quantities,Ordering quantities,Decomposing quantities,D,False,0.20923574,0.25238648,0.28599134,0.25238648
Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,Fancy Feast,Cat Chow,Meow Mix,9-Lives,C,False,0.44746602,0.27140185,0.23951131,0.041620824
In the phrase 'Y2K' what does 'K' stand for?,millennium,computer code,catastrophe,thousand,D,False,0.2564316,0.5778775,0.12112971,0.04456113
What is the approximate speed of light?,165 miles per hour,122000 miles per hour,186000 miles per second,293000 miles per second,C,True,0.06378116,0.32390743,0.56847525,0.043836106
Which of these people was buried in the Valley of the Kings?,Louis XIV,Elvis Presley,Julius Caesar,King Tut,D,True,0.029088192,0.051051367,0.06977894,0.85008156
After Prince Charles who is next in line to be the king of England?,Prince William,Prince Andrew,Prince Edward,Fresh Prince,A,True,0.47323495,0.2870315,0.22354035,0.01619321
The disco band ABBA comes from what country?,Norway,Sweden,Switzerland,The Netherlands,B,True,0.12491507,0.81454855,0.048917443,0.01161891
When it's noon in New York during daylight-saving time what time is it in Honolulu?,6:00 AM,6:30 AM,7:00 AM,8:00 AM,A,False,0.17729075,0.42529842,0.35258475,0.044826124
"The total retail market value of all the goods and services produced in a nation, usually stated in annual terms, is the",ratio of profit to sales,current ratio,gross domestic product,trade surplus,C,True,0.021402119,0.007873398,0.9687338,0.001990707
What is the world’s most venomous fish?,Scorpion fish,Lion fish,Stonefish,Toadfish,C,True,0.2302396,0.14865386,0.5879374,0.033169158
What force causes an ice cream cone to fly off of a spinning merry-go-round?,centrifugal,Vehicular,Gravitational,Torsal,A,False,0.25246063,0.47165853,0.2371648,0.03871609
Which of these words is spelled correctly?,decieve,foriegn,hygiene,wierd,C,False,0.23458573,0.1716266,0.20702119,0.3867665
The term 'chili con carne' refers to chili with what?,beans,meat,cheese,chili peppers,B,True,0.18969022,0.35438797,0.10153385,0.35438797
At what age can someone first attend an R-rated movie without an accompanying adult?,15,17,18,21,B,False,0.23183976,0.33732486,0.38223913,0.048596255
On TV's 'Seinfeld' what type of doctor did Mr Costanza go to when he sat on 'fusilli Jerry'?,ophthalmologist,cardiologist,neurologist,proctologist,D,True,0.12965634,0.073875956,0.13801846,0.65844923
In the comic strip 'Peanuts' what is Schroeder known for doing?,Dancing,playing football,playing the piano,Flying an imaginary plane,C,True,0.021203538,0.013690032,0.95974535,0.0053610937
How is the Arabic numeral for '2' written?,2,II,I,ii,A,False,0.23764412,0.60684556,0.09906481,0.05644543
What country gave us the fashionable headgear called the beret?,Switzerland,China,Mexico,France,D,True,0.023014875,0.010212789,0.10314552,0.86362684
How many spikes are on the Statue of Liberty's crown?,five,seven,nine,thirteen,B,True,0.21625343,0.48733464,0.24504724,0.05136469
In a game with no wild cards what is the highest possible poker hand?,straight flush,royal flush,full house,four of a kind,B,True,0.21983281,0.5975675,0.14193472,0.04066498
Moderate and frequent irrigation is normally most appropriate for a corn crop growing in a,dispersed alluvial fan soil,"heavy-textured soil, such as silty clay","light-textured soil, such as loamy sand",region of low humidity,C,False,0.1796324,0.40480784,0.35724166,0.0583181
What is the capital of North Dakota?,Bismarck,Fargo,Sioux Falls,Pierre,A,True,0.52407676,0.28051808,0.07092608,0.12447914
A fiscal policy to combat a recession would call for,an increase in taxes,an increase in government spending,a decrease in the reserve requirement,a decrease in the discount rate,B,True,0.13593517,0.7822529,0.0683525,0.013459404
An electric fence installed to keep both mature cattle and sheep in a field should have a wire placed at which of the following heights? I. 6 inches II. 18 inches III. 40 inches IV. 60 inches,I only,II only,II and III only,III and IV only,C,False,0.2673707,0.34331077,0.28461462,0.10470387
How much chicken excrement is produced in the United States every year?,4*10^10 kg,4*10^12 kg,4*10^14 kg,4*10^16 kg,A,False,0.21063133,0.36966947,0.32623217,0.09346708
According to the American Kennel Club what is the most popular breed Of dog in the US as of 1999?,Poodle,Beagle,German shepherd,Labrador retriever,D,True,0.05367966,0.028732654,0.12877081,0.78881687
What singer appeared in the 1992 baseball film 'A League of Their Own'?,Brandy,Madonna,Garth Brooks,Whitney Houston,B,True,0.15417038,0.39368787,0.16411352,0.2880282
How is the word 'ambulance' normally written on the front of American ambulances?,in French,in reverse,in braille,in gibberish,B,True,0.2130167,0.37385595,0.2130167,0.20011067
What is the colored part of the eye called?,iris,pupil,retina,cochlea,A,True,0.9469577,0.036717534,0.014378793,0.001945958
If you work as a 'dolly grip' what business are you in?,sheep farming,film production,construction,moving,B,True,0.027287021,0.9619006,0.010038334,0.0007740732
Who was the longest reigning monarch in French history?,Louis XIII,Louis XIV,Louis XV,Louis XVI,B,True,0.12337147,0.7099538,0.13132825,0.035346515
