0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,False,0.022683322,0.31313363,0.079172574,0.5850106
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?","Design and construct a threedimensional model of a low-income, multifamily dwelling unit",Describe several construction careers that are related to home building,Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,False,0.01504787,0.18332058,0.16177984,0.6398517
Who was the first US president to resign from that office?,Martin Van Buren,Andrew Jackson,Andrew Johnson,Richard Nixon,D,True,0.014386827,0.10630507,0.093813896,0.78549415
How much kale would be needed to provide enough calories for a person for an entire year?,2*10^3 kg/yr,2*10^4 kg/yr,2*10^5 kg/yr,2*10^6 kg/yr,A,False,0.025472634,0.18821873,0.12936072,0.6569479
How long has the average United States citizen spent as president?,1 seconds,10 seconds,1 minute,10 minutes,B,False,0.010778692,0.10226538,0.13131134,0.7556446
What is the proletariat?,the homeless,the royalty,the upper class,the working class,D,True,0.0043834513,0.060511682,0.099766895,0.835338
According to the proverb necessity is the mother of what?,Invention,Luck,Problems,Procrastination,A,False,0.05036298,0.13690078,0.19918945,0.6135467
What rank entitles a general in the US Army to wear three stars?,brigadier general,corporal general,lieutenant general,major general,C,False,0.009024124,0.055279452,0.07098023,0.8647162
What is another way of writing-'six feet'?,6',6,6'',6#,A,False,0.03953197,0.13798013,0.12176704,0.7007209
"In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?",Rafters,Studs,Headers,Joists,B,False,0.025041316,0.1850317,0.14410283,0.6458241
What part of the world was once known as Cathay?,China,India,Iran,Indonesia,A,False,0.019610826,0.18606234,0.1449055,0.64942133
What is a shaddock?,a fish the offspring of a male shad and a female haddock,"a crystal such as quartz, that sticks out from a mineral vein",a plant that is a member of the nightshade family,a grapefruit,D,True,0.032970164,0.11507718,0.10155525,0.75039744
How many innings are there in a regular Major League Baseball game?,seven,eight,nine,ten,C,False,0.042553566,0.14852655,0.054639865,0.75428003
"Which of the following statements is correct about a trophic structure in which a leaf-eating grasshopper is eaten by a frog, which in turn is eaten by a snake?",The frog is a herbivore.,The snake is a secondary consumer.,The grasshopper is a primary consumer.,The snakes outnumber the grasshoppers in the community.,C,False,0.03810443,0.24847211,0.11736991,0.5960536
"People who believe their political views are important, that government will respect these views, and that their views can influence political affairs are said to have a strong sense of",political partisanship,political alienation,political allegiance,political efficacy,D,True,0.01685217,0.08558238,0.08558238,0.81198305
What was the average life expectancy of white males born in the U.S. just before the Civil War?,40 years,50 years,60 years,70 years,A,False,0.017017374,0.16145635,0.18295401,0.6385722
"What does the Yiddish word""'meshuga' mean?",crazy,sacred,stingy,sweet,A,False,0.08454594,0.08454594,0.12301362,0.7078945
What is the last letter of the Greek alphabet?,omicron,omega,upsilon,zeta,B,False,0.0072418475,0.077857204,0.077857204,0.83704376
An elementary school student is able to follow fast and slow songs by playing appropriate rhythm patterns on the drum. Which of the following attributes of music does the student understand?,Dynamics,Pitch,Tempo,Harmony,C,False,0.015900852,0.19371204,0.19371204,0.5966751
When FDR carried states in the presidential election of 1932 how many states did he not carry?,six,seven,eight,ten,A,False,0.028912563,0.14683011,0.078592494,0.74566483
Which of these is a member of the cucumber family?,green pepper,watermelon,potato,green bean,B,False,0.017922252,0.19268237,0.116867766,0.67252755
"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it's wrong what they say about the past, I've learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years. The excerpt is an example of which of the following types of writing?",Informative,Persuasive,Descriptive,Narrative,D,True,0.00968124,0.06312962,0.055711687,0.8714774
Which of the following defenses may NOT be used to legally avoid payment on a negotiable instrument?,Breach of contract,Diminished economic resources,Fraud in the inducement,Mental incapacity,B,False,0.022695202,0.14799131,0.24399643,0.585317
"Simple accompaniments, light texture and smooth melodies are qualities of",galant style,partitas,Sturm und Drang,serenade,A,False,0.050362986,0.19918947,0.1369008,0.6135468
Which of the following is true about a monopoly?,It competes with many firms selling the same product in the market.,It has to lower its price on all units to sell more output.,Its marginal revenue increases as output sold increases.,It sets a price below average variable cost to drive its competitors out of the market.,B,False,0.02760344,0.20396335,0.14018184,0.6282514
Which of these names has never belonged to a Pope?,Leo,Lando,Linus,Lawrence,D,True,0.011254305,0.13710551,0.1553609,0.6962792
Which of the following best helps explain why some localities have normally large tidal ranges (up to 60 feet) and others have one- to two-foot tidal ranges?,The position of the Sun is different at different localities.,The Coriolis effect and rotation of Earth tend to enhance tidal flow in the higher latitudes.,Ocean floor topography and the shape of the coastline serve to amplify tidal flow at specific localities.,Trade winds push the water into large tidal bulges near rocky shorelines.,C,False,0.009751544,0.2849819,0.17285025,0.5324163
"Which of these is typically not ""used as a spice?",Dill,Thyme,Hemlock,Marjoram,C,False,0.0258658,0.19112386,0.11592248,0.6670878
Who is the patron saint of animals?,St Isidore of Seville,St Anthony of Padua,St Francis of Assisi,St Joan of Arc,C,False,0.016878828,0.16014186,0.2640293,0.55895
The dissolved salts in Earth's oceans are principally derived from,marine biological activity,atmospheric deposition,the weathering of continental rocks,the eruptions of undersea hot-spot volcanoes,C,False,0.01227736,0.24659738,0.14956887,0.5915564
What is the baseball term for a batter who substitutes for another batter?,Switchhitter,Shadow hitter,Clip hitter,Pinch hitter,D,True,0.003575241,0.0981535,0.076442026,0.8218292
In 1960 Nazi official Adolph Eichmann was finally captured in what country?,Brazil,East Germany,Argentina,Paraguay,C,False,0.005698333,0.10100537,0.14696194,0.7463343
What is the square root of 81 squared?,9,27,81,729,C,False,0.012859831,0.10767404,0.08385663,0.79560953
Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?,Absorption lines in the solar spectrum are consistent with the presence of sodium.,Stars with the same spectral class as the Sun are made mostly of sodium.,Solar samples returned to Earth by the Voyager spacecraft contained sodium.,The Sun gives off energy produced by the nuclear fusion of sodium in its core,A,False,0.013194507,0.26501873,0.160742,0.5610447
What letters are on the '3' button of a touch-tone telephone?,ABC,DEF,GHI,WXY,B,False,0.014915726,0.14151648,0.124887854,0.71867996
"To best encourage student engagement in the classroom, a teacher should select texts based on which of the following?",The instructional objectives,The culture of the local community,The instructional reading level of the class,Topics that are interesting for the students,D,True,0.019136734,0.20573927,0.14140241,0.6337216
When born a Dalmatian puppy is always?,Black,black with white spots,white,white with black spots,C,False,0.02827616,0.44231358,0.087096706,0.44231358
Which of these countries is not in Europe?,Italy,Spain,Greece,Israel,D,True,0.0026419682,0.06813726,0.099139124,0.8300817
What famous radio personality was also the voice of Shaggy on the cartoon 'Scooby-Doo'?,Rush Limbaugh,Casey Kasem,Larry King,Howard Stern,B,False,0.0070748273,0.3862725,0.11066892,0.4959837
Many scientists think that some of the dinosaurs did not go extinct but rather evolved into what kind of creature?,amphibians,reptiles,birds,mammals,C,False,0.003731499,0.070408225,0.16890055,0.75695974
What are fans of the TV show 'Mystery Science Theater 3000' known as?,Mysterians,MiSTies,Bot Brigade,Gizmonics,B,False,0.026879765,0.2550281,0.10631154,0.61178064
What automobile company makes the Sonata?,Toyota,Honda,Subaru,Hyundai,D,True,0.0025326994,0.04489317,0.050870627,0.9017035
Force equals mass times what?,Velocity,Distance,Acceleration,Weight,C,False,0.012717831,0.09397277,0.10648509,0.78682435
To create a tapestry one must traditionally engage in what activity?,Weaving,Sculpting,Baking,Singing,A,False,0.06017518,0.26968646,0.0992121,0.57092625
What element do organic compounds contain?,Carbon,Oxygen,Hydrogen,Nitrogen,A,False,0.021230938,0.20143352,0.1568766,0.62045896
What is the technical term for someone who studies fish?,entomologist,ichthyologist,marinologist,herpetologist,B,False,0.014925127,0.2645542,0.08588817,0.6346325
A person uses a remote control to change the volume level on a television. The signal that travels from the remote to the television is most likely encoded in a,visible light pulse,radio wave signal,series of infrared pulses,series of intense infrared beams,C,False,0.010593466,0.1462383,0.18777369,0.65539455
When it comes to measuring horses how long is a 'hand'?,four inches,seven inches,ten inches,two feet,A,False,0.06778555,0.12664008,0.07681109,0.72876334
What is the (approximate) value of lemon juice on the pH scale?,14,2,7,0,B,False,0.011896061,0.08790067,0.16422006,0.73598325
Which of the following best describes the situation after the price is raised on a product that has an inelastic demand?,The quantity demanded will not change.,The quantity demanded will increase.,Total revenue will decrease.,Total revenue will not change.,A,False,0.009287648,0.21138589,0.12821203,0.6511144
Which of the following statements reflects the Confucian worldview that figured prominently in classical Chinese culture?,Having faith in God will be rewarded in the afterlife.,Life's ultimate goal is to escape the suffering inherent in the endless cycle of death and reincarnation.,A life of quiet contemplation and isolation from worldly temptations will result in self-perfection.,Observing rules of proper behavior toward others will ensure social and political harmony.,D,True,0.0059941937,0.28881642,0.09376497,0.6114244
Which of these Democrats lost to Ronald Reagan in the 1984 presidential elections?,Michael Dukakis,Walter Mondale,Gary Hart,Jimmy Carter,B,False,0.0061773304,0.2045651,0.07525529,0.7140023
Real gross domestic product (GDP) is defined as the ratio of nominal GDP to the,money supply,unemployment rate,government's budget deficit,GDP deflator,D,True,0.018092828,0.1514894,0.1514894,0.6789284
Which of these is another name for a golf course?,Pitch,Links,Steps,Suite,B,False,0.012744785,0.29006997,0.15526326,0.54192203
"When Corporation X pays out $300,000 in salaries, which of the following is the impact on assets and liabilities?","Salary expense is increased by $300,000; cash is increased by $300,000","Salary expense is increased by $300,000; cash is decreased by $300,000","Salary expense is decreased by $300,000; cash is increased by $300,000","Salary expense is decreased by $300,000; cash is decreased by $300,000",B,False,0.023318825,0.25070098,0.19524613,0.530734
Who was not one of the Cartwright sons on the TV series 'Bonanza'?,Adam,Little Joe,Hoss,Ben,D,True,0.012344478,0.13271564,0.091214046,0.7637258
How long is a single term in the US Senate?,two years,four years,six years,eight years,C,False,0.031864647,0.18336837,0.059530996,0.725236
On what body part should you wear a babushka?,head,hands,foot,legs,A,False,0.0440243,0.17411949,0.17411949,0.6077367
A kindergarten teacher has students determine the following. • How many students are absent that day • If there are enough snack cups for each student to have one during snack time • How many balls are taken outside during recess and how many are brought back inside after recess. Which of the following concepts is most closely aligned with the determinations the teacher is having the students make?,Classifying,Counting,Patterning,Ordering,B,False,0.008422951,0.20406944,0.15892944,0.6285781
"Grammar may be taught in two main ways— by experience with discourse that entails the varieties of word forms and sentence construction, or by analyzing dummy sentences and diagramming parts. Plentiful discursive experience is what really teaches grammar, for it exercises judgment and provides language intake, whereas formal grammar study has been proved irrelevant. Politics more than pedagogy retards the changing of the curriculum to fit this truth. The author of the passage above argues that",using language in a wide variety of situations improves grammar,good judgment can be improved by studying the rules of formal grammar,analyzing and diagramming provide exercise in logical thinking,formal study of grammar improves writing ability,A,False,0.04354792,0.22115459,0.13413703,0.60116047
Who was the mother of the Greek god Zeus?,Gaia,Phoebe,Rhea,Hera,C,False,0.011987072,0.10036653,0.14603244,0.7416139
Which of these evangelists is a cousin of rocker Jerry Lee Lewis?,Billy Graham,Oral Roberts,Jerry Falwell,Jimmy Swaggart,D,True,0.0093603525,0.18800771,0.14642055,0.6562114
Which of the following prescribes standards for wages and overtime pay that affect most private and public employment?,The Employee Retirement Income Security Act,The American Recovery and Reinvestment Act,The Fair Labor Standards Act,The Federal Employees' Compensation Act,C,False,0.0021038775,0.1013705,0.14749321,0.7490323
What organelle is primarily responsible for photosynthesis?,Nucleus,Chloroplast,Mitochondria,Golgi Apparatus,B,False,0.0030025998,0.30627352,0.18576428,0.50495964
In what city is TV's 'The Mary Tyler Moore Show' set?,Dallas,Chicago,New York,Minneapolis,D,True,0.0031277295,0.17076825,0.15070245,0.6754015
What Greek poet wrote 'The Iliad' and 'The Odyssey'?,Sophocles,Plato,Homer,Socrates,C,False,0.005589897,0.07716615,0.18511197,0.732132
What is Delta Burke's character's job on the sitcom 'Designing Women'?,fashion designer,graphic designer,interior designer,website designer,C,False,0.026579231,0.15295291,0.13498047,0.6854874
Which of the following activities will best help a teacher collect data that will inform instruction to meet the individual needs of students?,Concentric circles,K-W-L chart,Book pass,Reciprocal teaching,B,False,0.005534928,0.11834198,0.10443643,0.7716866
On average what length of time passes between high tides?,3 hours 25 minutes,6 hours 25 minutes,12 hours 25 minutes,24 hours 25 minutes,C,False,0.02687362,0.22501007,0.1364755,0.61164075
An increase in the real interest rate in the United States relative to its trading partners will most likely result in which of the following?,An increase in United States imports,An increase in United States exports,A decrease in the demand for the United States dollar,A decrease in the United States trade deficit,A,False,0.017925747,0.21838032,0.17007476,0.5936192
The legal basis for the escalation of United States involvement in the Vietnam War was the,declaration of war by Congress,passage of the Gulf of Tonkin Resolution by Congress,United Nations resolution condemning the North Vietnamese invasion of South Vietnam,mutual defense provisions of the North Atlantic Treaty Organization (NATO),B,False,0.014929125,0.29985952,0.12500004,0.5602113
What professional sports team plays its home games in the Alamodome?,New York Jets,Detroit Tigers,Boston Bruins,San Antonio Spurs,D,True,0.0013188008,0.07200409,0.04948764,0.8771894
What is the name of Howard Stern's female on-air sidekick?,Allison Norris,Jackie Reeses,Jackie Martling,Robin Quivers,D,True,0.008537502,0.07148363,0.049129933,0.8708489
In what decade did Israel become an independent state?,1920s,1940s,1950s,1960s,B,False,0.0057407077,0.1153052,0.21541846,0.6635356
In cooking the term 'au gratin' is sometimes used to describe a dish with what topping?,cheese,fruit,gravy,whipped cream,A,False,0.015683856,0.16861734,0.14880428,0.6668945
Which of the following is the most effective way to evaluate the development of a student's drafting skills throughout the school year?,Baseline assessment,Portfolio assessment,Short-answer unit assessment,Teacher-created assessment,B,False,0.012476024,0.1722262,0.1341299,0.68116784
In the sci-fi movie 'Fantastic Voyage' where do the voyagers travel?,through outer space,through a human body,to the ocean floor,to the center of the earth,B,False,0.011028879,0.36522633,0.09234367,0.53140116
What would be the most likely thing one would do with the compound MgSO4 7H2O?,power a car,blow up a building,soak ones feet,fertilize a lawn,C,False,0.0050926125,0.09026872,0.14882796,0.75581074
Who originally proposed the idea of daylight-saving time?,Benjamin Franklin,Henry David Thoreau,Galileo,Albert Einstein,A,False,0.03356547,0.36086282,0.080519386,0.5250523
If you ask for 'gai' at a Thai restaurant what will you get?,shrimp,chicken,beef,pork,B,False,0.019754622,0.2123822,0.11368,0.6541832
On a set of jumper cables what color designates the negative connector?,black,red,orange,blue,A,False,0.01225924,0.14934812,0.07994029,0.75845236
Which of these is a commonly-known investment account?,CNN,EMC,IRA,IRS,C,False,0.0038422197,0.11228611,0.23770972,0.646162
If you are 'riding fakie' inside a 'half pipe' what are you probably doing?,skiing,biking,snowboarding,surfing,C,False,0.011140648,0.2873211,0.09327951,0.6082588
Which of these people was not alive in the 20th century?,Mark Twain,Thomas Edison,Sigmund Freud,Ulysses S Grant,D,True,0.014544556,0.17718896,0.10747054,0.70079595
What color is cartoon character Marge Simpson's hair?,yellow,purple,blue,brown,C,False,0.021077294,0.13744123,0.0505618,0.79091966
Which of these is not a fabric?,Velveteen,Celotex,Seersucker,Tencel,B,False,0.014806784,0.23161708,0.12397569,0.62960047
How is 4:00 pm expressed in military time?,1600,4,400,4:00,A,False,0.019246371,0.076120876,0.08625624,0.8183765
Which of the following is most likely to cause a rise in the average temperature of Earth's atmosphere in the future?,Atomic warfare,CO2 from fossil fuels,Dust clouds from volcanoes,Depletion of Earth's ozone layer,B,False,0.0025993495,0.28224096,0.117655545,0.59750414
Which of the following activities is likely to have the greatest impact on biodiversity?,Copper mining in Chile,Soil erosion on the slopes of the Rocky Mountains,Large-scale deforestation of the Amazon or Congo basin tropical forests,Increased use of ethanol fuels in the United States,C,False,0.0060163564,0.12863538,0.21208388,0.65326434
Whom did Billie Jean King defeat in the famous 'Battle of the Sexes' tennis match?,Jimmy Connors,Pete Sampras,John McEnroe,Bobby Riggs,D,True,0.009953716,0.29089022,0.08334145,0.6158146
Which of the following structures is most susceptible to damage by acid precipitation?,A monument made of granite,A roof made of slate,A tombstone made of marble,A statue made of gabbro,C,False,0.05934651,0.30138645,0.14236487,0.49690223
Who is an archenemy of the cartoon superhero Underdog?,OverCat,Muttley,Mr Whoopie,Dick Dastardly,A,False,0.0147305755,0.17945515,0.09605542,0.7097589
Mohair is made from the fleece of what animal?,camel,llama,goat,mole,C,False,0.008775713,0.17626493,0.19973432,0.615225
"The Burgess Shale is a rock formation in Canada that has a large number of fossils from the Cambrian period preserved in exquisite detail. Many primitive members of modern phyla, including arthropods, mollusks, and chordates, can be found among the fossils exposed in this region. Based on these fossils, it can be concluded that most of the modern groups of animal life first appeared roughly",3 billion years ago,540 million years ago,65 million years ago,"200,000 years ago",B,False,0.02893949,0.31112882,0.14696686,0.5129647
The Strauss family of composers popularized what dance?,waltz,tango,fox-trot,square dance,A,False,0.018783096,0.2019373,0.15726894,0.6220107
What was Ludwig Van Beethoven's final symphony?,Ninth,Tenth,Eleventh,Twelfth,A,False,0.010778692,0.13131134,0.10226538,0.7556446
A portrait that comically exaggerates a person's physical traits is called a what?,Landscape,Caricature,Still life,Impressionism,B,False,0.006122173,0.3342593,0.10851811,0.55110043
The government establishes a price floor in a market for a good in order to,eliminate a surplus in the market,eliminate a shortage in the market,help buyers of the good,help sellers of the good,D,True,0.026091915,0.13250569,0.24755318,0.59384924
A student is standing in front of the class delivering a presentation. Some students in the back of the room note that they are having trouble hearing what the presenter is saying. Which of the following suggestions to the presenter would best address this problem?,Engage your audience by making eye contact with people in the back of the room,Entertain your audience with exaggerated body language,Emphasize your main points by reading them directly from a paper,Project your voice by relaxing the rib cage and maintaining good posture,D,True,0.008628821,0.15294951,0.15294951,0.68547213
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?",Foreshadowing,Irony,Flashback,Personification,D,True,0.011101134,0.10532463,0.10532463,0.7782496
Which of these is not one of the 3 methods of heat transfer?,Conduction,Radiation,Convection,Induction,D,True,0.0147305755,0.17945515,0.09605542,0.7097589
Which of these is not an ingredient in Yorkshire pudding?,eggs,milk,chocolate,meat drippings,C,False,0.007980043,0.06276791,0.06276791,0.86648417
"Anna feels that she is confusing ""who"" and ""whom"" in her narrative. She wants to correct her error. Which of the following reference materials will best help Anna accomplish such a task?",A dictionary,A thesaurus,A glossary,A grammar guide,D,True,0.029883128,0.08123076,0.11819007,0.77069604
Where was the chicken First domesticated?,France,India,Peru,Zaire,B,False,0.03441444,0.12011821,0.15423484,0.69123256
Which of the following is not in Nevada?,Liberace Museum,Pikes Peak,Lake Mead,Hoover Dam,B,False,0.015930932,0.28238252,0.10388273,0.59780383
What famous folksinger founded the Institute for the Study of Non-Violence in 1965?,Bob Dylan,Woody Guthrie,Joan Baez,Peter Yarrow,C,False,0.0066687786,0.19489029,0.11820694,0.68023396
Phoebe Dione and Helene are moons of what planet?,Jupiter,Saturn,Neptune,Pluto,B,False,0.01692617,0.20620295,0.14172108,0.63514984
Which of these companies is not an online stock brokerage?,E*Trade,EDigital,Datek Online,DLJ Direct,B,False,0.007889839,0.12341784,0.15847164,0.71022063
Which of these is not the name of one of rock musician Frank Zappa's children?,Dweezil,Ahmet,Moon Unit,Lumpy Gravy,D,True,0.01028767,0.18235332,0.086137615,0.7212214
How much does Peanuts character Lucy charge for her psychiatric advice?,5 cents,10 cents,75 cents,$125,A,False,0.029975155,0.19546257,0.17249513,0.6020671
Which of the following is the most reasonable action to take for an artist whose work requires the use of a specific hazardous product?,Finding a nontoxic product to use and adapting the art-making process as necessary,Reading the product's label and proceeding according to the label directions,Making sure no children are present when using the product,Checking with a qualified toxicologist before using the material,B,False,0.018720126,0.15674171,0.12207056,0.70246756
What children's storybook character believes that the sky is falling?,Chicken Little,Curious George,Jack Sprat,Tom Thumb,A,False,0.04129077,0.30509982,0.20969182,0.4439176
Pop icon Tiny Tim was famous for playing what musical instrument?,ukulele,kazoo,accordion,fiddle,A,False,0.03953197,0.12176704,0.13798013,0.7007209
Which of the following is the highest level taxonomic rank?,Domain,Class,Phylum,Kingdom,A,False,0.0045451443,0.08056461,0.15051451,0.76437575
When daylight-saving time arrives in the spring how do most Americans turn their clocks?,one hour forward,one hour backward,two hours forward,two hours backward,A,False,0.033927515,0.2212352,0.06338495,0.6814524
Which of these fashion designers was born in the United States?,Laura Ashley,Helmut Lang,Donna Karan,Christian Dior,C,False,0.0055394177,0.12607656,0.14286347,0.72552055
Who was on the $500 bill?,Calvin Coolidge,Andrew Jackson,Aaron Burr,William McKinley,D,True,0.06820812,0.18540892,0.09924224,0.6471407
For a man and woman on a date 'dutch treat' means what?,The man pays,The woman pays,The Dutch pay,Each pays their own way,D,True,0.012876784,0.22824647,0.13843848,0.6204382
What city's residents are known as 'Knickerbockers'?,Boston,Philadelphia,New York City,London,C,False,0.007849938,0.22940882,0.13914348,0.6235978
Which of these college football programs has produced the most Heisman Trophy winners?,Notre Dame,USC,Oklahoma,Michigan,A,False,0.022326194,0.113381766,0.21182503,0.652467
What does a pH level measure?,acidity,density,wavelength,humidity,A,False,0.02806281,0.11099056,0.040831145,0.8201155
If a hertz is equal to one cylce per second how many cycles per second does a megahertz equal?,-328716,1000,1000000,1000000000,C,False,0.025041316,0.1850317,0.14410283,0.6458241
"Every day was a happy day, and every night was peaceful. The sentence above can best be classified as",simple,compound,complex,compound-complex,B,False,0.019661335,0.16462235,0.16462235,0.651094
Which of these holidays is not attached to a specific date?,Independence Day,New Year's Day,Thanksgiving,Christmas,C,False,0.009100254,0.14235193,0.12562513,0.7229227
Where is the Louvre museum?,Paris,Lyon,Geneva,Vichy,A,False,0.0652613,0.17739859,0.13815817,0.61918193
Which of the following guidance systems is principally a materials-handling device?,Escalator,Conveyor,Highway,Railroad,B,False,0.007849938,0.13914348,0.22940882,0.6235978
"A preschool teacher is teaching students about a color wheel, which is an organization of hues around a circle. Red, yellow, and blue are examples of which of the following kinds of colors on the color wheel?",Complementary,Primary,Secondary,Tertiary,B,False,0.020071443,0.3139702,0.14830902,0.51764935
A second-grade teacher has each student select a card at random that is marked with a three-digit number. Students then model their numbers with base ten blocks on a place value mat. Which of the following whole number concepts does the lesson best reinforce?,Comparing quantities,Describing quantities,Ordering quantities,Decomposing quantities,D,True,0.0082210405,0.17577359,0.12080731,0.69519806
Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,Fancy Feast,Cat Chow,Meow Mix,9-Lives,C,False,0.031164251,0.20321645,0.1396685,0.62595075
In the phrase 'Y2K' what does 'K' stand for?,millennium,computer code,catastrophe,thousand,D,True,0.008269577,0.18821472,0.14658177,0.6569339
What is the approximate speed of light?,165 miles per hour,122000 miles per hour,186000 miles per second,293000 miles per second,C,False,0.0052398234,0.08196463,0.13513683,0.77765876
Which of these people was buried in the Valley of the Kings?,Louis XIV,Elvis Presley,Julius Caesar,King Tut,D,True,0.0010680126,0.17961209,0.10894024,0.7103796
After Prince Charles who is next in line to be the king of England?,Prince William,Prince Andrew,Prince Edward,Fresh Prince,A,False,0.062429246,0.14975998,0.116633184,0.6711776
The disco band ABBA comes from what country?,Norway,Sweden,Switzerland,The Netherlands,B,False,0.011896748,0.23895258,0.099610254,0.6495404
When it's noon in New York during daylight-saving time what time is it in Honolulu?,6:00 AM,6:30 AM,7:00 AM,8:00 AM,A,False,0.016868232,0.124640316,0.14123598,0.7172555
"The total retail market value of all the goods and services produced in a nation, usually stated in annual terms, is the",ratio of profit to sales,current ratio,gross domestic product,trade surplus,C,False,0.004657789,0.106010795,0.19805424,0.6912772
What is the world’s most venomous fish?,Scorpion fish,Lion fish,Stonefish,Toadfish,C,False,0.0062047634,0.09705884,0.26383325,0.6329031
What force causes an ice cream cone to fly off of a spinning merry-go-round?,centrifugal,Vehicular,Gravitational,Torsal,A,False,0.022658186,0.14774995,0.16742261,0.6621693
Which of these words is spelled correctly?,decieve,foriegn,hygiene,wierd,C,False,0.027785497,0.124525964,0.035677284,0.81201124
The term 'chili con carne' refers to chili with what?,beans,meat,cheese,chili peppers,B,False,0.013598922,0.16566877,0.07825638,0.7424759
At what age can someone first attend an R-rated movie without an accompanying adult?,15,17,18,21,B,False,0.010778692,0.10226538,0.13131134,0.7556446
On TV's 'Seinfeld' what type of doctor did Mr Costanza go to when he sat on 'fusilli Jerry'?,ophthalmologist,cardiologist,neurologist,proctologist,D,True,0.043484714,0.17198539,0.10431442,0.6802154
In the comic strip 'Peanuts' what is Schroeder known for doing?,Dancing,playing football,playing the piano,Flying an imaginary plane,C,False,0.008034617,0.22057976,0.1717877,0.59959793
How is the Arabic numeral for '2' written?,2,II,I,ii,A,False,0.013778377,0.07928909,0.054494537,0.85243803
What country gave us the fashionable headgear called the beret?,Switzerland,China,Mexico,France,D,True,0.013921529,0.062391967,0.062391967,0.8612945
How many spikes are on the Statue of Liberty's crown?,five,seven,nine,thirteen,B,False,0.026950656,0.12078447,0.064651266,0.78761363
In a game with no wild cards what is the highest possible poker hand?,straight flush,royal flush,full house,four of a kind,B,False,0.025777815,0.08997342,0.13091056,0.7533382
Moderate and frequent irrigation is normally most appropriate for a corn crop growing in a,dispersed alluvial fan soil,"heavy-textured soil, such as silty clay","light-textured soil, such as loamy sand",region of low humidity,C,False,0.02468789,0.20670916,0.20670916,0.56189376
What is the capital of North Dakota?,Bismarck,Fargo,Sioux Falls,Pierre,A,False,0.03854897,0.36574242,0.0635565,0.53215206
A fiscal policy to combat a recession would call for,an increase in taxes,an increase in government spending,a decrease in the reserve requirement,a decrease in the discount rate,B,False,0.026602004,0.2859985,0.15308397,0.5343155
An electric fence installed to keep both mature cattle and sheep in a field should have a wire placed at which of the following heights? I. 6 inches II. 18 inches III. 40 inches IV. 60 inches,I only,II only,II and III only,III and IV only,C,False,0.049511287,0.2849178,0.19582094,0.46975002
How much chicken excrement is produced in the United States every year?,4*10^10 kg,4*10^12 kg,4*10^14 kg,4*10^16 kg,A,False,0.016868232,0.14123598,0.124640316,0.7172555
According to the American Kennel Club what is the most popular breed Of dog in the US as of 1999?,Poodle,Beagle,German shepherd,Labrador retriever,D,True,0.0064521623,0.1009288,0.14685054,0.74576855
What singer appeared in the 1992 baseball film 'A League of Their Own'?,Brandy,Madonna,Garth Brooks,Whitney Houston,B,False,0.03161406,0.18192635,0.06692696,0.71953267
How is the word 'ambulance' normally written on the front of American ambulances?,in French,in reverse,in braille,in gibberish,B,False,0.011654832,0.14198492,0.12530126,0.72105896
What is the colored part of the eye called?,iris,pupil,retina,cochlea,A,False,0.03821046,0.1511253,0.13336761,0.6772966
If you work as a 'dolly grip' what business are you in?,sheep farming,film production,construction,moving,B,False,0.0071749627,0.34570906,0.07713812,0.5699779
Who was the longest reigning monarch in French history?,Louis XIII,Louis XIV,Louis XV,Louis XVI,B,False,0.012941904,0.12278937,0.15766467,0.706604
