0,1,2,3,4,5,llama_7B_ds_alpacafollowturn_20000/epoch2_correct,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceA_probs,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceB_probs,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceC_probs,llama_7B_ds_alpacafollowturn_20000/epoch2_choiceD_probs
"Compared with a sound of 60 decibels, a sound of 80 decibels has an intensity",10 times greater,100 times greater,1000 times greater,more than 1000 times greater,B,True,0.07131972,0.7667592,0.15098384,0.0109372325
"When red and blue light are overlapped, the color produced is",magenta,yellow,cyan,white,A,False,0.26266307,0.4907192,0.23179933,0.0148184365
"When 100 J are put into a device that puts out 40 J of useful work, the efficiency of the device is",40%,50%,60%,140%,A,False,0.092142224,0.4679368,0.32160798,0.118312955
Shock waves are produced by waves of sound,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.078297675,0.6555784,0.18782635,0.078297675
A rock suspended by a weighing scale weighs 5 N out of water and 3 N when submerged in water. What is the buoyant force on the rock?,3 N,5 N,8 N,None of these,D,False,0.11592248,0.6670878,0.19112386,0.0258658
The work done on a 100-kg crate that is hoisted 2 m in a time of 4 s is,200 J,500 J,800 J,2000 J,D,False,0.11411537,0.5114296,0.27374855,0.100706466
A capacitor loses half its remaining charge every second. If after five seconds its charge is q what was its initial charge?,4q.,8q.,16q.,32q.,D,False,0.1043998,0.46788743,0.3643911,0.06332168
The mass of an atom comes mostly from its _ ; and its volume from its _.,nucleons; nucleons.,electrons; electrons.,electrons; nucleons.,nucleons; electrons.,D,False,0.5013666,0.3445839,0.14364395,0.010405532
The definition of magnetic inclination is the angle between,magnetic north and geographic north,magnetic north and geographic south,the earth’s magnetic field at any point and the vertical,the earth’s magnetic field at any point and the horizontal,D,False,0.045264285,0.4294556,0.4294556,0.0958245
The pitch of a sound is mostly related to its,intensity,frequency,amplitude,speed,B,True,0.118333116,0.87437004,0.0066758976,0.0006209552
"As more lamps are connected to a series circuit, the current in the power source",increases,decreases,remains the same,None of these,B,True,0.20944372,0.56932706,0.18483344,0.03639586
"When an element ejects an alpha particle, the mass number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,B,False,0.08386742,0.37586772,0.4826237,0.057641182
An electron can be speeded up by,an electric field,a magnetic field,Both of these,Neither of these,A,False,0.22329935,0.6878104,0.08214724,0.006743056
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",zero,minus 1,minus 2,plus 1,A,False,0.12359226,0.33595857,0.43137935,0.10906978
"When an object is set vibrating by a wave that has a matching frequency, what occurs is",forced vibration,resonance,refraction,amplitude reduction,B,True,0.04656158,0.93521434,0.017129049,0.0010950234
The red glow in the neon tube of an advertising sign is a result of,fluorescence,incandescence,de-excitation,polarization,C,False,0.15851355,0.8049982,0.027545523,0.008942722
"At very high speeds, an object appears to an observer at rest to be",shorter in the direction of travel.,shrunken in all directions.,shorter in the direction perpendicular to travel.,longer in all directions.,A,False,0.1702698,0.4628413,0.31810588,0.048783112
"When a wave moves from shallow water to deep water, the","frequency decreases, the wavelength increases, and the speed increases","frequency does not change, the wavelength increases, and the speed increases","frequency does not change, the wavelength decreases, and the speed decreases","frequency does not change, the wavelength increases, and the speed decreases",B,True,0.10963286,0.55676156,0.298013,0.035592575
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,9.8 m/s2,more than 9.8 m/s2,less than 9.8 m/s2,Cannot say unless the speed of throw is given.,A,False,0.04295582,0.6719421,0.2471937,0.03790838
Carbon-14 is primarily produced by cosmic radiation in the,atmosphere,food we eat,Earth’s interior,fallout of nuclear bomb tests,A,False,0.080461174,0.40861556,0.36060196,0.15032126
Chain reactions in a fission reactor are caused by,kinetic energy,energy conversion,mass conversion,ejected neutrons,D,False,0.036115684,0.16185926,0.6401658,0.16185926
Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is,zero,practically zero,appreciably weaker than at Earth’s surface,without a component of force along their circular path,D,False,0.12519686,0.38563344,0.43697995,0.052189812
The complementary color of blue is,magenta,yellow,cyan,white,B,True,0.10558389,0.7801653,0.10558389,0.008666853
"The difference between dc and ac in electric circuits is that in dc, charges flow",steadily in one direction,in one direction,to and fro,All of these,B,True,0.15994515,0.43477598,0.33860388,0.06667506
To receive an electric shock there must be a,current in one direction.,presence of moisture.,high voltage and low body resistance.,voltage difference across part or all of your body.,D,False,0.06901297,0.10041328,0.74195933,0.088614404
A karate chop delivers a force of 3000 N to a board that breaks. The force that the board exerts on the hand during this event is,less than 3000 N,3000 N,greater than 3000 N,Need more information,B,True,0.06227753,0.85971475,0.07056969,0.00743799
Find the speed of a wave by multiplying its frequency by its,period,wavelength,amplitude,None of these,B,True,0.13022485,0.84917265,0.01555314,0.0050493656
The magnitude of the gravitational force on a satellite is constant if the orbit is,parabolic,circular,elliptical,All of these,B,True,0.14529744,0.5746625,0.21140653,0.06863365
The impulse–momentum relationship is a direct result of Newton’s,first law,second law,third law,law of gravity,B,True,0.269629,0.5708046,0.12736373,0.03220259
A common nuclear fission reactor,heats water,generates electricity directly,gets energy from nothing,is a major polluter of the atmosphere,A,False,0.06261966,0.5941188,0.28064182,0.06261966
The process of boiling water tends to,warm the water,cool the water,Both,Neither,B,True,0.19793771,0.5380505,0.25415704,0.009854739
"When you scale up an object to 3 times its linear size, the surface area increases by",3 and the volume by 9.,3 and the volume by 27.,9 and the volume by 27.,4 and the volume by 8.,C,False,0.0677897,0.50090194,0.34426454,0.0870437
"If you change the magnetic field in a closed loop of wire, what is created in the loop is a(n)",current,voltage,electric field,All of these,D,False,0.12096008,0.42219216,0.42219216,0.03465564
Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,inside the spaceship.,Earth.,Both of these.,Neither of these.,B,True,0.250121,0.6000091,0.13388012,0.0159897
The model of light most supported by the photoelectric effect is the,wave model,particle model,Both of these,Neither of these,B,True,0.15573072,0.7908659,0.0446176,0.0087857265
"Compared with a fundamental tone, the frequency of its second harmonic is",half as much,twice as much,the same,four times as much,B,True,0.14584409,0.57682455,0.24045624,0.03687516
A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be,48.0 m,24.0 m,6.00 m,3.00 m,C,True,0.04839851,0.24578792,0.6681208,0.037692796
"During the time an aircraft produces a sonic boom, the aircraft is",breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,All of these,C,False,0.35438827,0.40157452,0.21494736,0.029089961
The principal source of Earth’s internal energy is,tidal friction,gravitational pressure,radioactivity,geothermal heat,C,False,0.060476393,0.8348508,0.09970871,0.0049642045
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",positive,negative,Both of these,Neither of these,A,False,0.16800876,0.51750344,0.24445131,0.07003647
Astrophysicists are able to identify the elements in the outer layers of a star by studying its,Doppler effect.,molecular structure.,temperature.,spectrum.,D,False,0.219266,0.36150852,0.24846093,0.17076454
Relativistic equations for time dilation length contraction and relativistic momentum and energy hold true,at speeds near that of light.,at everyday low speeds.,at all speeds.,only approximately.,C,True,0.094225615,0.3288797,0.54223096,0.034663666
"In his special theory of relativity, Einstein stated that the laws of physics are",different in different situations.,common sense applied to microscopic and macroscopic things.,the same in all frames of reference.,the same in all uniformly moving frames of reference.,D,False,0.009744945,0.1345248,0.77413684,0.08159342
"When an element ejects a beta particle, the atomic number of that element",reduces by 1,increases by 1,reduces by 2,increases by 2,B,True,0.1469779,0.4527238,0.35258165,0.047716737
The amount of heat transferred to a system can be measured in,calories,joules,Either,Neither,C,False,0.16951002,0.7596912,0.055031847,0.015766887
"Compared with the sound you hear from the siren of a stationary fire engine, its sound when it approaches you has an increased",speed,frequency,Both of these,Neither of these,B,True,0.0970038,0.55821836,0.33857656,0.006201246
Light reflecting from a smooth surface undergoes a change in,frequency.,wavelength.,All of these.,None of these.,D,False,0.06255188,0.5237405,0.4078895,0.005818231
What Einstein discovered about space and time is that they,are separate entities.,are parts of one whole.,follow an inverse-square law.,are special to space travelers.,B,True,0.05110888,0.90592664,0.03512659,0.007837801
All parts of a laser beam have the same,frequency,phase,speed,All of these,D,False,0.36891085,0.25354847,0.22375575,0.15378492
The rotational inertia of an object is greater when most of the mass is located,near the rotational axis,away from the axis,on the rotational axis,off center,B,True,0.29522255,0.42954627,0.26053298,0.014698265
"When small pieces of material are assembled into a larger piece, the combined surface area",greatly increases,slightly increases,decreases,is unchanged,C,False,0.29947373,0.43573168,0.23323037,0.0315643
A rainbow is the result of light in raindrops that undergoes,internal reflection,dispersion,refraction,All of these,D,False,0.037523817,0.27726558,0.66512555,0.020085052
"In the atomic nucleus, electrical forces tend to",hold particles together,push particles apart,produce orbital motion,charge particles,B,True,0.37837285,0.48584035,0.122839674,0.012947206
The fact that the acceleration of free fall is the same for all masses is explained by Newton’s,first law,second law,third law,law of action–reaction,B,True,0.18030733,0.71312934,0.066331364,0.040232003
"Compared with radiation from the Sun, terrestrial radiation has a lower",wavelength,frequency,Both,Neither,B,False,0.21568456,0.35560372,0.4029518,0.025759846
"When we speak of time dilation, we mean that time",compresses with speed.,stretches with speed.,is a constant at all speeds.,is related to space.,B,True,0.12706044,0.5025338,0.3453861,0.025019683
The magnetic field lines about a current-carrying wire form,circles,radial lines,eddy currents,energy loops,A,False,0.06854608,0.7369397,0.18632755,0.008186661
An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it,increases.,decreases.,remains largely unchanged.,Need more information.,B,True,0.14308518,0.64126325,0.183725,0.031926617
"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?",0.50 g,0.25 g,0.125 g,0.0625 g,C,True,0.03912007,0.2550949,0.61194086,0.093844175
Boiling and freezing occur when water is subjected to,decreased temperatures,decreased atmospheric pressure,increased temperatures,increased atmospheric pressure,B,False,0.3155568,0.3155568,0.27847788,0.09040854
"When you bend the branch of a tree by hanging on its end, the top side of the branch is under",tension.,compression.,Both.,Neither.,A,False,0.28258935,0.52794635,0.17139909,0.01806533
A simple and correct way to comprehend satellites orbiting Earth is to view them as,balanced between gravitational and centripetal forces.,beyond the main pull of Earth gravity.,in mechanical equilibrium with a net force of zero.,having sufficient tangential velocities to fall around rather than into Earth.,D,False,0.025374528,0.27280188,0.6544177,0.04740586
