0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_firstturn_2000_gpt4op_Gptnone_Tptalpaca_choiceD_probs
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,False,0.15119255,0.32007462,0.41098395,0.11774888
"Of the following objectives, which is most appropriate for a technology education program that has a goal of enabling students to develop creative technical solutions to present and future societal problems?","Design and construct a threedimensional model of a low-income, multifamily dwelling unit",Describe several construction careers that are related to home building,Categorize the components of a technical system,Identify the major tools and equipment used in highway construction,A,False,0.11452343,0.12977205,0.5132584,0.2424461
Who was the first US president to resign from that office?,Martin Van Buren,Andrew Jackson,Andrew Johnson,Richard Nixon,D,False,0.046204805,0.07156341,0.59919304,0.28303874
How much kale would be needed to provide enough calories for a person for an entire year?,2*10^3 kg/yr,2*10^4 kg/yr,2*10^5 kg/yr,2*10^6 kg/yr,A,False,0.061766785,0.157727,0.48583338,0.29467285
How long has the average United States citizen spent as president?,1 seconds,10 seconds,1 minute,10 minutes,B,False,0.06980444,0.10156486,0.5157889,0.3128418
What is the proletariat?,the homeless,the royalty,the upper class,the working class,D,False,0.021208484,0.027232233,0.6198028,0.33175653
According to the proverb necessity is the mother of what?,Invention,Luck,Problems,Procrastination,A,False,0.13040707,0.09540785,0.5844439,0.18974116
What rank entitles a general in the US Army to wear three stars?,brigadier general,corporal general,lieutenant general,major general,C,True,0.06811744,0.046816386,0.68796176,0.19710435
What is another way of writing-'six feet'?,6',6,6'',6#,A,False,0.13357744,0.11788167,0.528309,0.22023195
"In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?",Rafters,Studs,Headers,Joists,B,False,0.06684013,0.11730808,0.6341615,0.1816903
What part of the world was once known as Cathay?,China,India,Iran,Indonesia,A,False,0.08483246,0.20350249,0.5531771,0.1584879
What is a shaddock?,a fish the offspring of a male shad and a female haddock,"a crystal such as quartz, that sticks out from a mineral vein",a plant that is a member of the nightshade family,a grapefruit,D,False,0.0816961,0.092573814,0.60365707,0.22207303
How many innings are there in a regular Major League Baseball game?,seven,eight,nine,ten,C,True,0.13229828,0.14083079,0.5569966,0.16987437
"Which of the following statements is correct about a trophic structure in which a leaf-eating grasshopper is eaten by a frog, which in turn is eaten by a snake?",The frog is a herbivore.,The snake is a secondary consumer.,The grasshopper is a primary consumer.,The snakes outnumber the grasshoppers in the community.,C,True,0.09428596,0.106839985,0.5425782,0.2562958
"People who believe their political views are important, that government will respect these views, and that their views can influence political affairs are said to have a strong sense of",political partisanship,political alienation,political allegiance,political efficacy,D,False,0.09063311,0.09063311,0.4602729,0.3584609
What was the average life expectancy of white males born in the U.S. just before the Civil War?,40 years,50 years,60 years,70 years,A,False,0.077067815,0.14398164,0.5694584,0.20949206
"What does the Yiddish word""'meshuga' mean?",crazy,sacred,stingy,sweet,A,False,0.2352381,0.07174357,0.49799907,0.19501923
What is the last letter of the Greek alphabet?,omicron,omega,upsilon,zeta,B,False,0.04100718,0.08155252,0.64146024,0.23598003
An elementary school student is able to follow fast and slow songs by playing appropriate rhythm patterns on the drum. Which of the following attributes of music does the student understand?,Dynamics,Pitch,Tempo,Harmony,C,True,0.10193966,0.17890967,0.5510806,0.1680701
When FDR carried states in the presidential election of 1932 how many states did he not carry?,six,seven,eight,ten,A,False,0.092338,0.22150736,0.3430773,0.3430773
Which of these is a member of the cucumber family?,green pepper,watermelon,potato,green bean,B,False,0.09875553,0.16282034,0.50152194,0.23690219
"I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it's wrong what they say about the past, I've learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years. The excerpt is an example of which of the following types of writing?",Informative,Persuasive,Descriptive,Narrative,D,True,0.06963386,0.114806816,0.33220455,0.48335475
Which of the following defenses may NOT be used to legally avoid payment on a negotiable instrument?,Breach of contract,Diminished economic resources,Fraud in the inducement,Mental incapacity,B,False,0.07018549,0.11571631,0.45766687,0.35643134
"Simple accompaniments, light texture and smooth melodies are qualities of",galant style,partitas,Sturm und Drang,serenade,A,False,0.09843841,0.09843841,0.49991152,0.30321166
Which of the following is true about a monopoly?,It competes with many firms selling the same product in the market.,It has to lower its price on all units to sell more output.,Its marginal revenue increases as output sold increases.,It sets a price below average variable cost to drive its competitors out of the market.,B,False,0.17301625,0.10493966,0.47030693,0.25173718
Which of these names has never belonged to a Pope?,Leo,Lando,Linus,Lawrence,D,False,0.038993217,0.07284892,0.6492954,0.23886243
Which of the following best helps explain why some localities have normally large tidal ranges (up to 60 feet) and others have one- to two-foot tidal ranges?,The position of the Sun is different at different localities.,The Coriolis effect and rotation of Earth tend to enhance tidal flow in the higher latitudes.,Ocean floor topography and the shape of the coastline serve to amplify tidal flow at specific localities.,Trade winds push the water into large tidal bulges near rocky shorelines.,C,True,0.059049986,0.18188676,0.4944195,0.2646437
"Which of these is typically not ""used as a spice?",Dill,Thyme,Hemlock,Marjoram,C,True,0.09072991,0.16950579,0.5221146,0.21764973
Who is the patron saint of animals?,St Isidore of Seville,St Anthony of Padua,St Francis of Assisi,St Joan of Arc,C,True,0.03620974,0.0676487,0.8241299,0.072011665
The dissolved salts in Earth's oceans are principally derived from,marine biological activity,atmospheric deposition,the weathering of continental rocks,the eruptions of undersea hot-spot volcanoes,C,True,0.04532993,0.158217,0.51877356,0.27767947
What is the baseball term for a batter who substitutes for another batter?,Switchhitter,Shadow hitter,Clip hitter,Pinch hitter,D,False,0.02122978,0.08396541,0.58283544,0.31196934
In 1960 Nazi official Adolph Eichmann was finally captured in what country?,Brazil,East Germany,Argentina,Paraguay,C,True,0.015454888,0.073731154,0.74465823,0.16615571
What is the square root of 81 squared?,9,27,81,729,C,True,0.05934651,0.14236487,0.49690223,0.30138645
Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?,Absorption lines in the solar spectrum are consistent with the presence of sodium.,Stars with the same spectral class as the Sun are made mostly of sodium.,Solar samples returned to Earth by the Voyager spacecraft contained sodium.,The Sun gives off energy produced by the nuclear fusion of sodium in its core,A,False,0.08093168,0.17133236,0.52774084,0.21999511
What letters are on the '3' button of a touch-tone telephone?,ABC,DEF,GHI,WXY,B,False,0.04547076,0.08495056,0.4888567,0.380722
"To best encourage student engagement in the classroom, a teacher should select texts based on which of the following?",The instructional objectives,The culture of the local community,The instructional reading level of the class,Topics that are interesting for the students,D,False,0.09048414,0.12367716,0.48915264,0.29668608
When born a Dalmatian puppy is always?,Black,black with white spots,white,white with black spots,C,True,0.12793545,0.19815029,0.41948417,0.25443003
Which of these countries is not in Europe?,Italy,Spain,Greece,Israel,D,False,0.019277072,0.0762423,0.6383689,0.26611173
What famous radio personality was also the voice of Shaggy on the cartoon 'Scooby-Doo'?,Rush Limbaugh,Casey Kasem,Larry King,Howard Stern,B,False,0.049072742,0.24921194,0.5978284,0.103887
Many scientists think that some of the dinosaurs did not go extinct but rather evolved into what kind of creature?,amphibians,reptiles,birds,mammals,C,True,0.03827793,0.059286024,0.76883286,0.13360313
What are fans of the TV show 'Mystery Science Theater 3000' known as?,Mysterians,MiSTies,Bot Brigade,Gizmonics,B,False,0.10064314,0.21306154,0.5791613,0.10713407
What automobile company makes the Sonata?,Toyota,Honda,Subaru,Hyundai,D,False,0.014332537,0.050025467,0.60943496,0.32620704
Force equals mass times what?,Velocity,Distance,Acceleration,Weight,C,True,0.05177885,0.085368894,0.63079554,0.23205672
To create a tapestry one must traditionally engage in what activity?,Weaving,Sculpting,Baking,Singing,A,False,0.24591295,0.21701743,0.4054419,0.13162771
What element do organic compounds contain?,Carbon,Oxygen,Hydrogen,Nitrogen,A,False,0.05982823,0.14352046,0.72885704,0.06779427
What is the technical term for someone who studies fish?,entomologist,ichthyologist,marinologist,herpetologist,B,False,0.09377477,0.28884664,0.53963655,0.07774202
A person uses a remote control to change the volume level on a television. The signal that travels from the remote to the television is most likely encoded in a,visible light pulse,radio wave signal,series of infrared pulses,series of intense infrared beams,C,True,0.080089815,0.109469794,0.6299552,0.18048519
When it comes to measuring horses how long is a 'hand'?,four inches,seven inches,ten inches,two feet,A,False,0.1621023,0.14305478,0.49931026,0.1955327
What is the (approximate) value of lemon juice on the pH scale?,14,2,7,0,B,False,0.02472384,0.07615479,0.67876023,0.22036119
Which of the following best describes the situation after the price is raised on a product that has an inelastic demand?,The quantity demanded will not change.,The quantity demanded will increase.,Total revenue will decrease.,Total revenue will not change.,A,False,0.09046008,0.15876238,0.48902255,0.26175493
Which of the following statements reflects the Confucian worldview that figured prominently in classical Chinese culture?,Having faith in God will be rewarded in the afterlife.,Life's ultimate goal is to escape the suffering inherent in the endless cycle of death and reincarnation.,A life of quiet contemplation and isolation from worldly temptations will result in self-perfection.,Observing rules of proper behavior toward others will ensure social and political harmony.,D,False,0.07042242,0.24579841,0.40525305,0.2785261
Which of these Democrats lost to Ronald Reagan in the 1984 presidential elections?,Michael Dukakis,Walter Mondale,Gary Hart,Jimmy Carter,B,False,0.055252478,0.2185278,0.40826365,0.31795606
Real gross domestic product (GDP) is defined as the ratio of nominal GDP to the,money supply,unemployment rate,government's budget deficit,GDP deflator,D,False,0.06621473,0.116210476,0.45962134,0.35795346
Which of these is another name for a golf course?,Pitch,Links,Steps,Suite,B,False,0.09220302,0.25063378,0.6012392,0.05592396
"When Corporation X pays out $300,000 in salaries, which of the following is the impact on assets and liabilities?","Salary expense is increased by $300,000; cash is increased by $300,000","Salary expense is increased by $300,000; cash is decreased by $300,000","Salary expense is decreased by $300,000; cash is increased by $300,000","Salary expense is decreased by $300,000; cash is decreased by $300,000",B,False,0.08255462,0.15423235,0.47506908,0.28814396
Who was not one of the Cartwright sons on the TV series 'Bonanza'?,Adam,Little Joe,Hoss,Ben,D,False,0.06358553,0.15253374,0.53239506,0.25148562
How long is a single term in the US Senate?,two years,four years,six years,eight years,C,True,0.14366058,0.16278876,0.47104487,0.22250584
On what body part should you wear a babushka?,head,hands,foot,legs,A,False,0.19724226,0.16351958,0.50367576,0.1355625
A kindergarten teacher has students determine the following. • How many students are absent that day • If there are enough snack cups for each student to have one during snack time • How many balls are taken outside during recess and how many are brought back inside after recess. Which of the following concepts is most closely aligned with the determinations the teacher is having the students make?,Classifying,Counting,Patterning,Ordering,B,False,0.049378432,0.14288123,0.6816482,0.12609224
"Grammar may be taught in two main ways— by experience with discourse that entails the varieties of word forms and sentence construction, or by analyzing dummy sentences and diagramming parts. Plentiful discursive experience is what really teaches grammar, for it exercises judgment and provides language intake, whereas formal grammar study has been proved irrelevant. Politics more than pedagogy retards the changing of the curriculum to fit this truth. The author of the passage above argues that",using language in a wide variety of situations improves grammar,good judgment can be improved by studying the rules of formal grammar,analyzing and diagramming provide exercise in logical thinking,formal study of grammar improves writing ability,A,False,0.14876276,0.21644855,0.35686332,0.27792543
Who was the mother of the Greek god Zeus?,Gaia,Phoebe,Rhea,Hera,C,True,0.09616767,0.12348173,0.5890984,0.19125225
Which of these evangelists is a cousin of rocker Jerry Lee Lewis?,Billy Graham,Oral Roberts,Jerry Falwell,Jimmy Swaggart,D,False,0.057574887,0.14702262,0.58148575,0.21391666
Which of the following prescribes standards for wages and overtime pay that affect most private and public employment?,The Employee Retirement Income Security Act,The American Recovery and Reinvestment Act,The Fair Labor Standards Act,The Federal Employees' Compensation Act,C,True,0.022108171,0.09307887,0.687765,0.19704798
What organelle is primarily responsible for photosynthesis?,Nucleus,Chloroplast,Mitochondria,Golgi Apparatus,B,False,0.019747896,0.27261126,0.65396047,0.053680345
In what city is TV's 'The Mary Tyler Moore Show' set?,Dallas,Chicago,New York,Minneapolis,D,False,0.017245578,0.17417417,0.6888722,0.11970804
What Greek poet wrote 'The Iliad' and 'The Odyssey'?,Sophocles,Plato,Homer,Socrates,C,True,0.018543318,0.053656865,0.8393346,0.088465214
What is Delta Burke's character's job on the sitcom 'Designing Women'?,fashion designer,graphic designer,interior designer,website designer,C,True,0.16446783,0.16446783,0.50659657,0.16446783
Which of the following activities will best help a teacher collect data that will inform instruction to meet the individual needs of students?,Concentric circles,K-W-L chart,Book pass,Reciprocal teaching,B,False,0.030302301,0.07737964,0.47400776,0.41831037
On average what length of time passes between high tides?,3 hours 25 minutes,6 hours 25 minutes,12 hours 25 minutes,24 hours 25 minutes,C,True,0.088276416,0.1455432,0.5407586,0.22542173
An increase in the real interest rate in the United States relative to its trading partners will most likely result in which of the following?,An increase in United States imports,An increase in United States exports,A decrease in the demand for the United States dollar,A decrease in the United States trade deficit,A,False,0.10911564,0.14010724,0.48902234,0.2617548
The legal basis for the escalation of United States involvement in the Vietnam War was the,declaration of war by Congress,passage of the Gulf of Tonkin Resolution by Congress,United Nations resolution condemning the North Vietnamese invasion of South Vietnam,mutual defense provisions of the North Atlantic Treaty Organization (NATO),B,False,0.075198084,0.21759287,0.4606441,0.24656503
What professional sports team plays its home games in the Alamodome?,New York Jets,Detroit Tigers,Boston Bruins,San Antonio Spurs,D,True,0.0066956645,0.052665483,0.4409627,0.4996762
What is the name of Howard Stern's female on-air sidekick?,Allison Norris,Jackie Reeses,Jackie Martling,Robin Quivers,D,False,0.03680847,0.12069032,0.4212506,0.4212506
In what decade did Israel become an independent state?,1920s,1940s,1950s,1960s,B,False,0.024731081,0.071561754,0.637823,0.26588416
In cooking the term 'au gratin' is sometimes used to describe a dish with what topping?,cheese,fruit,gravy,whipped cream,A,False,0.10094001,0.12960954,0.5808697,0.18858077
Which of the following is the most effective way to evaluate the development of a student's drafting skills throughout the school year?,Baseline assessment,Portfolio assessment,Short-answer unit assessment,Teacher-created assessment,B,False,0.06550634,0.1672763,0.4547041,0.31251326
In the sci-fi movie 'Fantastic Voyage' where do the voyagers travel?,through outer space,through a human body,to the ocean floor,to the center of the earth,B,False,0.07353362,0.30958807,0.4794994,0.13737889
What would be the most likely thing one would do with the compound MgSO4 7H2O?,power a car,blow up a building,soak ones feet,fertilize a lawn,C,True,0.031286165,0.07050447,0.7579945,0.14021489
Who originally proposed the idea of daylight-saving time?,Benjamin Franklin,Henry David Thoreau,Galileo,Albert Einstein,A,False,0.09490025,0.25796562,0.54611325,0.1010208
If you ask for 'gai' at a Thai restaurant what will you get?,shrimp,chicken,beef,pork,B,False,0.1575668,0.1785466,0.48533994,0.1785466
On a set of jumper cables what color designates the negative connector?,black,red,orange,blue,A,False,0.069094256,0.12908506,0.65554804,0.14627254
Which of these is a commonly-known investment account?,CNN,EMC,IRA,IRS,C,True,0.022618933,0.057759468,0.7973448,0.12227679
If you are 'riding fakie' inside a 'half pipe' what are you probably doing?,skiing,biking,snowboarding,surfing,C,False,0.13163258,0.43160662,0.2966386,0.14012215
Which of these people was not alive in the 20th century?,Mark Twain,Thomas Edison,Sigmund Freud,Ulysses S Grant,D,False,0.06523455,0.14700831,0.51310945,0.2746477
What color is cartoon character Marge Simpson's hair?,yellow,purple,blue,brown,C,True,0.10378161,0.18214239,0.4651169,0.24895914
Which of these is not a fabric?,Velveteen,Celotex,Seersucker,Tencel,B,False,0.11017012,0.20582488,0.3845315,0.29947343
How is 4:00 pm expressed in military time?,1600,4,400,4:00,A,False,0.07139268,0.052232,0.4108365,0.46553874
Which of the following is most likely to cause a rise in the average temperature of Earth's atmosphere in the future?,Atomic warfare,CO2 from fossil fuels,Dust clouds from volcanoes,Depletion of Earth's ozone layer,B,False,0.0562012,0.2366159,0.4705669,0.2366159
Which of the following activities is likely to have the greatest impact on biodiversity?,Copper mining in Chile,Soil erosion on the slopes of the Rocky Mountains,Large-scale deforestation of the Amazon or Congo basin tropical forests,Increased use of ethanol fuels in the United States,C,True,0.06917916,0.11405716,0.61658716,0.20017654
Whom did Billie Jean King defeat in the famous 'Battle of the Sexes' tennis match?,Jimmy Connors,Pete Sampras,John McEnroe,Bobby Riggs,D,False,0.04988068,0.253315,0.4732547,0.2235497
Which of the following structures is most susceptible to damage by acid precipitation?,A monument made of granite,A roof made of slate,A tombstone made of marble,A statue made of gabbro,C,False,0.32567745,0.17432259,0.32567745,0.17432259
Who is an archenemy of the cartoon superhero Underdog?,OverCat,Muttley,Mr Whoopie,Dick Dastardly,A,False,0.057774246,0.13859321,0.3767354,0.42689714
Mohair is made from the fleece of what animal?,camel,llama,goat,mole,C,True,0.04019143,0.054935165,0.8593306,0.045542855
"The Burgess Shale is a rock formation in Canada that has a large number of fossils from the Cambrian period preserved in exquisite detail. Many primitive members of modern phyla, including arthropods, mollusks, and chordates, can be found among the fossils exposed in this region. Based on these fossils, it can be concluded that most of the modern groups of animal life first appeared roughly",3 billion years ago,540 million years ago,65 million years ago,"200,000 years ago",B,False,0.06684664,0.20590213,0.49393356,0.23331769
The Strauss family of composers popularized what dance?,waltz,tango,fox-trot,square dance,A,False,0.09412181,0.13694641,0.61375123,0.15518062
What was Ludwig Van Beethoven's final symphony?,Ninth,Tenth,Eleventh,Twelfth,A,False,0.027364561,0.07438459,0.5850801,0.31317082
A portrait that comically exaggerates a person's physical traits is called a what?,Landscape,Caricature,Still life,Impressionism,B,False,0.042416576,0.25983304,0.62330705,0.074443415
The government establishes a price floor in a market for a good in order to,eliminate a surplus in the market,eliminate a shortage in the market,help buyers of the good,help sellers of the good,D,False,0.12528698,0.14196874,0.5614973,0.171247
A student is standing in front of the class delivering a presentation. Some students in the back of the room note that they are having trouble hearing what the presenter is saying. Which of the following suggestions to the presenter would best address this problem?,Engage your audience by making eye contact with people in the back of the room,Entertain your audience with exaggerated body language,Emphasize your main points by reading them directly from a paper,Project your voice by relaxing the rib cage and maintaining good posture,D,True,0.029071238,0.10146859,0.3541602,0.51530004
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?",Foreshadowing,Irony,Flashback,Personification,D,False,0.0565576,0.1444249,0.47355098,0.3254665
Which of these is not one of the 3 methods of heat transfer?,Conduction,Radiation,Convection,Induction,D,False,0.04500393,0.13862185,0.48383778,0.33253652
Which of these is not an ingredient in Yorkshire pudding?,eggs,milk,chocolate,meat drippings,C,True,0.039387897,0.107067406,0.4798428,0.37370196
"Anna feels that she is confusing ""who"" and ""whom"" in her narrative. She wants to correct her error. Which of the following reference materials will best help Anna accomplish such a task?",A dictionary,A thesaurus,A glossary,A grammar guide,D,False,0.16282034,0.09875553,0.50152194,0.23690219
Where was the chicken First domesticated?,France,India,Peru,Zaire,B,False,0.08515175,0.1318856,0.59107023,0.1918924
Which of the following is not in Nevada?,Liberace Museum,Pikes Peak,Lake Mead,Hoover Dam,B,False,0.0726014,0.18539417,0.5039536,0.2380508
What famous folksinger founded the Institute for the Study of Non-Violence in 1965?,Bob Dylan,Woody Guthrie,Joan Baez,Peter Yarrow,C,True,0.029302161,0.1910741,0.5885497,0.1910741
Phoebe Dione and Helene are moons of what planet?,Jupiter,Saturn,Neptune,Pluto,B,False,0.04879477,0.15999189,0.55842656,0.23278682
Which of these companies is not an online stock brokerage?,E*Trade,EDigital,Datek Online,DLJ Direct,B,False,0.068372324,0.119997166,0.50520694,0.30642352
Which of these is not the name of one of rock musician Frank Zappa's children?,Dweezil,Ahmet,Moon Unit,Lumpy Gravy,D,False,0.060165912,0.15363903,0.4176342,0.36856088
How much does Peanuts character Lucy charge for her psychiatric advice?,5 cents,10 cents,75 cents,$125,A,False,0.112578206,0.14455327,0.5045405,0.23832805
Which of the following is the most reasonable action to take for an artist whose work requires the use of a specific hazardous product?,Finding a nontoxic product to use and adapting the art-making process as necessary,Reading the product's label and proceeding according to the label directions,Making sure no children are present when using the product,Checking with a qualified toxicologist before using the material,B,False,0.06332168,0.1043998,0.46788743,0.3643911
What children's storybook character believes that the sky is falling?,Chicken Little,Curious George,Jack Sprat,Tom Thumb,A,False,0.096521646,0.12393624,0.71320385,0.06633829
Pop icon Tiny Tim was famous for playing what musical instrument?,ukulele,kazoo,accordion,fiddle,A,False,0.28154245,0.15069881,0.46418503,0.10357368
Which of the following is the highest level taxonomic rank?,Domain,Class,Phylum,Kingdom,A,False,0.056241572,0.049633015,0.6851626,0.2089628
When daylight-saving time arrives in the spring how do most Americans turn their clocks?,one hour forward,one hour backward,two hours forward,two hours backward,A,False,0.28738207,0.22381338,0.3690059,0.11979867
Which of these fashion designers was born in the United States?,Laura Ashley,Helmut Lang,Donna Karan,Christian Dior,C,True,0.028639534,0.088215984,0.57524043,0.30790403
Who was on the $500 bill?,Calvin Coolidge,Andrew Jackson,Aaron Burr,William McKinley,D,False,0.22892895,0.17829005,0.4846426,0.10813838
For a man and woman on a date 'dutch treat' means what?,The man pays,The woman pays,The Dutch pay,Each pays their own way,D,False,0.09921248,0.17412333,0.47331628,0.25334796
What city's residents are known as 'Knickerbockers'?,Boston,Philadelphia,New York City,London,C,True,0.035049647,0.12233529,0.703991,0.13862404
Which of these college football programs has produced the most Heisman Trophy winners?,Notre Dame,USC,Oklahoma,Michigan,A,False,0.07845747,0.10074139,0.6992838,0.1215173
What does a pH level measure?,acidity,density,wavelength,humidity,A,False,0.15867057,0.13154253,0.43131134,0.27847552
If a hertz is equal to one cylce per second how many cycles per second does a megahertz equal?,-328716,1000,1000000,1000000000,C,True,0.097164884,0.11010224,0.493444,0.29928893
"Every day was a happy day, and every night was peaceful. The sentence above can best be classified as",simple,compound,complex,compound-complex,B,False,0.0972136,0.110157445,0.55942565,0.2332033
Which of these holidays is not attached to a specific date?,Independence Day,New Year's Day,Thanksgiving,Christmas,C,True,0.059217732,0.1713522,0.5980779,0.1713522
Where is the Louvre museum?,Paris,Lyon,Geneva,Vichy,A,False,0.326142,0.093441255,0.47453383,0.10588281
Which of the following guidance systems is principally a materials-handling device?,Escalator,Conveyor,Highway,Railroad,B,False,0.09142527,0.14160222,0.5961676,0.17080489
"A preschool teacher is teaching students about a color wheel, which is an organization of hues around a circle. Red, yellow, and blue are examples of which of the following kinds of colors on the color wheel?",Complementary,Primary,Secondary,Tertiary,B,False,0.069454014,0.15651703,0.5462981,0.22773091
A second-grade teacher has each student select a card at random that is marked with a three-digit number. Students then model their numbers with base ten blocks on a place value mat. Which of the following whole number concepts does the lesson best reinforce?,Comparing quantities,Describing quantities,Ordering quantities,Decomposing quantities,D,False,0.04771682,0.14697814,0.5130041,0.29230094
Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,Fancy Feast,Cat Chow,Meow Mix,9-Lives,C,True,0.08093168,0.17133236,0.52774084,0.21999511
In the phrase 'Y2K' what does 'K' stand for?,millennium,computer code,catastrophe,thousand,D,False,0.056418043,0.16325101,0.6065511,0.1737798
What is the approximate speed of light?,165 miles per hour,122000 miles per hour,186000 miles per second,293000 miles per second,C,True,0.024617463,0.07582713,0.63489276,0.26466268
Which of these people was buried in the Valley of the Kings?,Louis XIV,Elvis Presley,Julius Caesar,King Tut,D,False,0.005815663,0.06252427,0.7617015,0.16995859
After Prince Charles who is next in line to be the king of England?,Prince William,Prince Andrew,Prince Edward,Fresh Prince,A,False,0.17288586,0.1188226,0.6034309,0.104860574
The disco band ABBA comes from what country?,Norway,Sweden,Switzerland,The Netherlands,B,False,0.062130794,0.21685779,0.5894806,0.1315309
When it's noon in New York during daylight-saving time what time is it in Honolulu?,6:00 AM,6:30 AM,7:00 AM,8:00 AM,A,False,0.070912756,0.11691537,0.59374523,0.21842667
"The total retail market value of all the goods and services produced in a nation, usually stated in annual terms, is the",ratio of profit to sales,current ratio,gross domestic product,trade surplus,C,True,0.026056755,0.06250691,0.76149005,0.14994629
What is the world’s most venomous fish?,Scorpion fish,Lion fish,Stonefish,Toadfish,C,True,0.018386515,0.049979728,0.8322372,0.09939656
What force causes an ice cream cone to fly off of a spinning merry-go-round?,centrifugal,Vehicular,Gravitational,Torsal,A,False,0.06829742,0.11260341,0.6087283,0.21037088
Which of these words is spelled correctly?,decieve,foriegn,hygiene,wierd,C,True,0.14050554,0.14050554,0.38193363,0.33705524
The term 'chili con carne' refers to chili with what?,beans,meat,cheese,chili peppers,B,False,0.11505403,0.21494922,0.45504752,0.21494922
At what age can someone first attend an R-rated movie without an accompanying adult?,15,17,18,21,B,False,0.054412108,0.08427512,0.58498526,0.27632746
On TV's 'Seinfeld' what type of doctor did Mr Costanza go to when he sat on 'fusilli Jerry'?,ophthalmologist,cardiologist,neurologist,proctologist,D,False,0.1625282,0.15268111,0.5006221,0.18416858
In the comic strip 'Peanuts' what is Schroeder known for doing?,Dancing,playing football,playing the piano,Flying an imaginary plane,C,True,0.051194075,0.15768884,0.70671237,0.08440476
How is the Arabic numeral for '2' written?,2,II,I,ii,A,False,0.07218714,0.119016476,0.44219986,0.36659655
What country gave us the fashionable headgear called the beret?,Switzerland,China,Mexico,France,D,False,0.042549524,0.042549524,0.45745048,0.45745048
How many spikes are on the Statue of Liberty's crown?,five,seven,nine,thirteen,B,False,0.09074955,0.09074955,0.5559084,0.26259252
In a game with no wild cards what is the highest possible poker hand?,straight flush,royal flush,full house,four of a kind,B,False,0.07975751,0.06211521,0.6273414,0.23078601
Moderate and frequent irrigation is normally most appropriate for a corn crop growing in a,dispersed alluvial fan soil,"heavy-textured soil, such as silty clay","light-textured soil, such as loamy sand",region of low humidity,C,True,0.06982577,0.13045172,0.584644,0.21507852
What is the capital of North Dakota?,Bismarck,Fargo,Sioux Falls,Pierre,A,False,0.11293585,0.39418483,0.3478669,0.1450125
A fiscal policy to combat a recession would call for,an increase in taxes,an increase in government spending,a decrease in the reserve requirement,a decrease in the discount rate,B,False,0.19652873,0.2523479,0.41605133,0.13507208
An electric fence installed to keep both mature cattle and sheep in a field should have a wire placed at which of the following heights? I. 6 inches II. 18 inches III. 40 inches IV. 60 inches,I only,II only,II and III only,III and IV only,C,True,0.07572512,0.117285356,0.5256365,0.28135297
How much chicken excrement is produced in the United States every year?,4*10^10 kg,4*10^12 kg,4*10^14 kg,4*10^16 kg,A,False,0.045580182,0.116393074,0.52163756,0.31638917
According to the American Kennel Club what is the most popular breed Of dog in the US as of 1999?,Poodle,Beagle,German shepherd,Labrador retriever,D,False,0.039841413,0.13063498,0.5854653,0.24405825
What singer appeared in the 1992 baseball film 'A League of Their Own'?,Brandy,Madonna,Garth Brooks,Whitney Houston,B,False,0.17796798,0.15705618,0.33248794,0.33248794
How is the word 'ambulance' normally written on the front of American ambulances?,in French,in reverse,in braille,in gibberish,B,False,0.067914076,0.11197138,0.5341856,0.28592896
What is the colored part of the eye called?,iris,pupil,retina,cochlea,A,False,0.14251919,0.2073642,0.56367433,0.08644226
If you work as a 'dolly grip' what business are you in?,sheep farming,film production,construction,moving,B,True,0.13766474,0.45138526,0.31023225,0.10071767
Who was the longest reigning monarch in French history?,Louis XIII,Louis XIV,Louis XV,Louis XVI,B,False,0.06846518,0.08258477,0.73607004,0.11288
