0,1,2,3,4,5,llama_7B_alpaca_20000/_correct,llama_7B_alpaca_20000/_choiceA_probs,llama_7B_alpaca_20000/_choiceB_probs,llama_7B_alpaca_20000/_choiceC_probs,llama_7B_alpaca_20000/_choiceD_probs
"When 100 J are put into a device that puts out 40 J of useful work, the efficiency of the device is",40%,50%,60%,140%,A,False,0.16709615,0.18934473,0.18934473,0.45421442
Shock waves are produced by waves of sound,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,True,0.17182438,0.19470254,0.104216754,0.52925634
A rock suspended by a weighing scale weighs 5 N out of water and 3 N when submerged in water. What is the buoyant force on the rock?,3 N,5 N,8 N,None of these,D,False,0.20302792,0.5518871,0.06591351,0.1791715
The work done on a 100-kg crate that is hoisted 2 m in a time of 4 s is,200 J,500 J,800 J,2000 J,D,True,0.18774992,0.27317455,0.08868679,0.45038867
A capacitor loses half its remaining charge every second. If after five seconds its charge is q what was its initial charge?,4q.,8q.,16q.,32q.,D,True,0.18237275,0.16094339,0.16094339,0.49574053
The mass of an atom comes mostly from its _ ; and its volume from its _.,nucleons; nucleons.,electrons; electrons.,electrons; nucleons.,nucleons; electrons.,D,False,0.88199586,0.043911986,0.030180238,0.043911986
The definition of magnetic inclination is the angle between,magnetic north and geographic north,magnetic north and geographic south,the earth’s magnetic field at any point and the vertical,the earth’s magnetic field at any point and the horizontal,D,False,0.46418503,0.28154245,0.10357368,0.15069881
The pitch of a sound is mostly related to its,intensity,frequency,amplitude,speed,B,False,0.16770913,0.07922018,0.08976823,0.6633025
"As more lamps are connected to a series circuit, the current in the power source",increases,decreases,remains the same,None of these,B,False,0.16800866,0.13084528,0.24445117,0.45669487
"When an element ejects an alpha particle, the mass number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,B,False,0.09162794,0.24907058,0.19397636,0.4653251
An electron can be speeded up by,an electric field,a magnetic field,Both of these,Neither of these,A,False,0.10544079,0.13538864,0.4725528,0.28661776
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",zero,minus 1,minus 2,plus 1,A,False,0.056106992,0.22190745,0.118778504,0.603207
"When an object is set vibrating by a wave that has a matching frequency, what occurs is",forced vibration,resonance,refraction,amplitude reduction,B,True,0.18405752,0.7279616,0.028226133,0.059754726
The red glow in the neon tube of an advertising sign is a result of,fluorescence,incandescence,de-excitation,polarization,C,False,0.25771952,0.08366927,0.17712785,0.4814834
"At very high speeds, an object appears to an observer at rest to be",shorter in the direction of travel.,shrunken in all directions.,shorter in the direction perpendicular to travel.,longer in all directions.,A,True,0.68868744,0.19731227,0.02079656,0.09320371
"When a wave moves from shallow water to deep water, the","frequency decreases, the wavelength increases, and the speed increases","frequency does not change, the wavelength increases, and the speed increases","frequency does not change, the wavelength decreases, and the speed decreases","frequency does not change, the wavelength increases, and the speed decreases",B,False,0.5201086,0.3154618,0.048377637,0.11605191
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,9.8 m/s2,more than 9.8 m/s2,less than 9.8 m/s2,Cannot say unless the speed of throw is given.,A,True,0.57489973,0.2715634,0.025259333,0.12827748
Carbon-14 is primarily produced by cosmic radiation in the,atmosphere,food we eat,Earth’s interior,fallout of nuclear bomb tests,A,False,0.12422771,0.08538037,0.15951154,0.63088036
Chain reactions in a fission reactor are caused by,kinetic energy,energy conversion,mass conversion,ejected neutrons,D,True,0.00889566,0.13915154,0.051190987,0.8007618
Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is,zero,practically zero,appreciably weaker than at Earth’s surface,without a component of force along their circular path,D,False,0.23849851,0.44557387,0.07742913,0.23849851
The complementary color of blue is,magenta,yellow,cyan,white,B,False,0.02220119,0.005273245,0.028506892,0.9440186
"The difference between dc and ac in electric circuits is that in dc, charges flow",steadily in one direction,in one direction,to and fro,All of these,B,False,0.28297442,0.17163265,0.13366765,0.41172534
To receive an electric shock there must be a,current in one direction.,presence of moisture.,high voltage and low body resistance.,voltage difference across part or all of your body.,D,True,0.07271013,0.064166464,0.3258642,0.5372592
A karate chop delivers a force of 3000 N to a board that breaks. The force that the board exerts on the hand during this event is,less than 3000 N,3000 N,greater than 3000 N,Need more information,B,True,0.3500132,0.44942585,0.10028046,0.10028046
Find the speed of a wave by multiplying its frequency by its,period,wavelength,amplitude,None of these,B,False,0.11119531,0.11119531,0.052524947,0.7250845
The magnitude of the gravitational force on a satellite is constant if the orbit is,parabolic,circular,elliptical,All of these,B,False,0.023427865,0.11897652,0.08177128,0.7758243
The impulse–momentum relationship is a direct result of Newton’s,first law,second law,third law,law of gravity,B,True,0.1686314,0.40452573,0.1488167,0.2780262
A common nuclear fission reactor,heats water,generates electricity directly,gets energy from nothing,is a major polluter of the atmosphere,A,False,0.28669626,0.25300857,0.13542572,0.32486942
The process of boiling water tends to,warm the water,cool the water,Both,Neither,B,False,0.026414217,0.092194684,0.4131879,0.46820322
"When you scale up an object to 3 times its linear size, the surface area increases by",3 and the volume by 9.,3 and the volume by 27.,9 and the volume by 27.,4 and the volume by 8.,C,False,0.40006945,0.24265438,0.11462182,0.24265438
"If you change the magnetic field in a closed loop of wire, what is created in the loop is a(n)",current,voltage,electric field,All of these,D,True,0.12789069,0.18607986,0.11286314,0.5731663
Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,inside the spaceship.,Earth.,Both of these.,Neither of these.,B,False,0.17946905,0.26112592,0.17946905,0.37993598
The model of light most supported by the photoelectric effect is the,wave model,particle model,Both of these,Neither of these,B,False,0.21333183,0.1141883,0.2739235,0.39855632
"Compared with a fundamental tone, the frequency of its second harmonic is",half as much,twice as much,the same,four times as much,B,False,0.02804916,0.26612303,0.14244539,0.56338245
A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be,48.0 m,24.0 m,6.00 m,3.00 m,C,False,0.4219747,0.15523581,0.09415528,0.32863423
"During the time an aircraft produces a sonic boom, the aircraft is",breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,All of these,C,False,0.31483006,0.19095409,0.21637933,0.27783656
The principal source of Earth’s internal energy is,tidal friction,gravitational pressure,radioactivity,geothermal heat,C,False,0.12877126,0.12877126,0.0885031,0.6539544
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",positive,negative,Both of these,Neither of these,A,False,0.02092028,0.08274131,0.42019504,0.47614336
Astrophysicists are able to identify the elements in the outer layers of a star by studying its,Doppler effect.,molecular structure.,temperature.,spectrum.,D,True,0.065717384,0.20242381,0.10834966,0.6235092
Relativistic equations for time dilation length contraction and relativistic momentum and energy hold true,at speeds near that of light.,at everyday low speeds.,at all speeds.,only approximately.,C,False,0.35686332,0.21644855,0.14876276,0.27792543
"In his special theory of relativity, Einstein stated that the laws of physics are",different in different situations.,common sense applied to microscopic and macroscopic things.,the same in all frames of reference.,the same in all uniformly moving frames of reference.,D,False,0.0067032734,0.10485684,0.60340947,0.28503045
"When an element ejects a beta particle, the atomic number of that element",reduces by 1,increases by 1,reduces by 2,increases by 2,B,False,0.06984943,0.2151514,0.31304345,0.40195572
The amount of heat transferred to a system can be measured in,calories,joules,Either,Neither,C,False,0.09503704,0.10769107,0.17755257,0.6197193
"Compared with the sound you hear from the siren of a stationary fire engine, its sound when it approaches you has an increased",speed,frequency,Both of these,Neither of these,B,False,0.09983132,0.1452537,0.4474129,0.3075021
Light reflecting from a smooth surface undergoes a change in,frequency.,wavelength.,All of these.,None of these.,D,True,0.16794273,0.115425244,0.3137583,0.40287367
What Einstein discovered about space and time is that they,are separate entities.,are parts of one whole.,follow an inverse-square law.,are special to space travelers.,B,False,0.33201173,0.33201173,0.10778843,0.22818811
All parts of a laser beam have the same,frequency,phase,speed,All of these,D,True,0.028225057,0.015107784,0.021981698,0.9346855
The rotational inertia of an object is greater when most of the mass is located,near the rotational axis,away from the axis,on the rotational axis,off center,B,False,0.11361119,0.24051487,0.06890867,0.5769652
"When small pieces of material are assembled into a larger piece, the combined surface area",greatly increases,slightly increases,decreases,is unchanged,C,False,0.3734341,0.073533535,0.073533535,0.47949886
A rainbow is the result of light in raindrops that undergoes,internal reflection,dispersion,refraction,All of these,D,True,0.048272617,0.02583847,0.07023624,0.85565263
"In the atomic nucleus, electrical forces tend to",hold particles together,push particles apart,produce orbital motion,charge particles,B,False,0.091097936,0.10322749,0.6731278,0.13254672
The fact that the acceleration of free fall is the same for all masses is explained by Newton’s,first law,second law,third law,law of action–reaction,B,True,0.17289476,0.46997666,0.07207326,0.28505525
"Compared with radiation from the Sun, terrestrial radiation has a lower",wavelength,frequency,Both,Neither,B,False,0.11266729,0.053220257,0.18575697,0.6483555
"When we speak of time dilation, we mean that time",compresses with speed.,stretches with speed.,is a constant at all speeds.,is related to space.,B,False,0.06837043,0.14474021,0.3934447,0.3934447
The magnetic field lines about a current-carrying wire form,circles,radial lines,eddy currents,energy loops,A,True,0.3785917,0.334106,0.10846834,0.17883405
An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it,increases.,decreases.,remains largely unchanged.,Need more information.,B,True,0.18069544,0.38253227,0.23201755,0.20475478
"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?",0.50 g,0.25 g,0.125 g,0.0625 g,C,False,0.2838788,0.10443317,0.08133264,0.5303554
Boiling and freezing occur when water is subjected to,decreased temperatures,decreased atmospheric pressure,increased temperatures,increased atmospheric pressure,B,False,0.2517814,0.19608754,0.08174145,0.47038957
"When you bend the branch of a tree by hanging on its end, the top side of the branch is under",tension.,compression.,Both.,Neither.,A,False,0.2419463,0.2419463,0.2419463,0.27416107
A simple and correct way to comprehend satellites orbiting Earth is to view them as,balanced between gravitational and centripetal forces.,beyond the main pull of Earth gravity.,in mechanical equilibrium with a net force of zero.,having sufficient tangential velocities to fall around rather than into Earth.,D,False,0.37658975,0.4267321,0.039692268,0.15698597
