0,1,2,3,4,5,llama2_7B_alpacacode_alpaca_52000_correct,llama2_7B_alpacacode_alpaca_52000_choiceA_probs,llama2_7B_alpacacode_alpaca_52000_choiceB_probs,llama2_7B_alpacacode_alpaca_52000_choiceC_probs,llama2_7B_alpacacode_alpaca_52000_choiceD_probs
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,True,0.0011670227,0.99670607,0.00020279815,0.0019240953
To say that a rose petal is red is to say that it,absorbs red,reflects red,emits red,transmits red,B,False,0.9925505,0.0016909287,0.001162157,0.0045964206
"Compared with a sound of 60 decibels, a sound of 80 decibels has an intensity",10 times greater,100 times greater,1000 times greater,more than 1000 times greater,B,False,0.13880494,0.035095386,0.027332315,0.7987673
"When red and blue light are overlapped, the color produced is",magenta,yellow,cyan,white,A,False,0.010768578,0.0021204588,0.017754385,0.96935654
"When 100 J are put into a device that puts out 40 J of useful work, the efficiency of the device is",40%,50%,60%,140%,A,False,0.20949206,0.14398164,0.5694584,0.077067815
Shock waves are produced by waves of sound,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,True,0.18153247,0.0015705635,0.003324883,0.81357205
A rock suspended by a weighing scale weighs 5 N out of water and 3 N when submerged in water. What is the buoyant force on the rock?,3 N,5 N,8 N,None of these,D,False,0.181259,0.29884556,0.3386364,0.181259
The work done on a 100-kg crate that is hoisted 2 m in a time of 4 s is,200 J,500 J,800 J,2000 J,D,False,0.45253554,0.069398575,0.025530308,0.45253554
A capacitor loses half its remaining charge every second. If after five seconds its charge is q what was its initial charge?,4q.,8q.,16q.,32q.,D,False,0.7050312,0.035101436,0.057872485,0.20199484
The mass of an atom comes mostly from its _ ; and its volume from its _.,nucleons; nucleons.,electrons; electrons.,electrons; nucleons.,nucleons; electrons.,D,False,0.6082832,0.018368563,0.25357017,0.11977807
The definition of magnetic inclination is the angle between,magnetic north and geographic north,magnetic north and geographic south,the earth’s magnetic field at any point and the vertical,the earth’s magnetic field at any point and the horizontal,D,False,0.8424897,0.047530018,0.10062105,0.009359215
The pitch of a sound is mostly related to its,intensity,frequency,amplitude,speed,B,True,0.00091097393,0.9990042,1.0120006e-05,7.477729e-05
"As more lamps are connected to a series circuit, the current in the power source",increases,decreases,remains the same,None of these,B,False,0.43801305,0.013226848,0.43801305,0.11074704
"When an element ejects an alpha particle, the mass number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,B,False,0.6671327,0.079677634,0.19113672,0.062053006
An electron can be speeded up by,an electric field,a magnetic field,Both of these,Neither of these,A,False,0.0075493655,0.0027772563,0.98877174,0.0009016431
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",zero,minus 1,minus 2,plus 1,A,False,0.115481906,0.0899374,0.27702668,0.517554
"When an object is set vibrating by a wave that has a matching frequency, what occurs is",forced vibration,resonance,refraction,amplitude reduction,B,True,0.0015007494,0.9982109,5.819037e-05,0.00023014737
The red glow in the neon tube of an advertising sign is a result of,fluorescence,incandescence,de-excitation,polarization,C,False,0.9917468,0.0045926985,0.0021694372,0.0014910309
"At very high speeds, an object appears to an observer at rest to be",shorter in the direction of travel.,shrunken in all directions.,shorter in the direction perpendicular to travel.,longer in all directions.,A,True,0.83312815,0.0532601,0.060351603,0.0532601
"When a wave moves from shallow water to deep water, the","frequency decreases, the wavelength increases, and the speed increases","frequency does not change, the wavelength increases, and the speed increases","frequency does not change, the wavelength decreases, and the speed decreases","frequency does not change, the wavelength increases, and the speed decreases",B,False,0.25328767,0.22352558,0.41760075,0.10558601
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,9.8 m/s2,more than 9.8 m/s2,less than 9.8 m/s2,Cannot say unless the speed of throw is given.,A,False,0.2696514,0.5037751,0.12737429,0.099199206
Carbon-14 is primarily produced by cosmic radiation in the,atmosphere,food we eat,Earth’s interior,fallout of nuclear bomb tests,A,True,0.9006666,0.05757769,0.014557919,0.027197774
Chain reactions in a fission reactor are caused by,kinetic energy,energy conversion,mass conversion,ejected neutrons,D,True,0.0031604245,0.0016916533,0.002172126,0.99297583
Satellites in circular Earth orbit maintain a constant speed because gravitational force on them is,zero,practically zero,appreciably weaker than at Earth’s surface,without a component of force along their circular path,D,False,0.1193675,0.0929635,0.534968,0.25270098
The complementary color of blue is,magenta,yellow,cyan,white,B,False,0.022369355,0.0011137045,0.025347799,0.95116913
"The difference between dc and ac in electric circuits is that in dc, charges flow",steadily in one direction,in one direction,to and fro,All of these,B,False,0.5257336,0.0051541105,0.0051541105,0.46395826
To receive an electric shock there must be a,current in one direction.,presence of moisture.,high voltage and low body resistance.,voltage difference across part or all of your body.,D,True,0.011970198,0.00024843353,0.036870804,0.95091057
A karate chop delivers a force of 3000 N to a board that breaks. The force that the board exerts on the hand during this event is,less than 3000 N,3000 N,greater than 3000 N,Need more information,B,True,0.07415754,0.9034238,0.007816147,0.014602485
Find the speed of a wave by multiplying its frequency by its,period,wavelength,amplitude,None of these,B,True,0.006689851,0.9928619,0.00011510524,0.00033306808
The magnitude of the gravitational force on a satellite is constant if the orbit is,parabolic,circular,elliptical,All of these,B,False,0.18132263,0.0037632312,0.0022825152,0.81263167
The impulse–momentum relationship is a direct result of Newton’s,first law,second law,third law,law of gravity,B,True,0.16232021,0.82433003,0.0015913313,0.0117584355
A common nuclear fission reactor,heats water,generates electricity directly,gets energy from nothing,is a major polluter of the atmosphere,A,True,0.80663097,0.15883505,0.013037975,0.021495987
The process of boiling water tends to,warm the water,cool the water,Both,Neither,B,False,0.0021777009,0.00080113136,0.9955244,0.0014967103
"When you scale up an object to 3 times its linear size, the surface area increases by",3 and the volume by 9.,3 and the volume by 27.,9 and the volume by 27.,4 and the volume by 8.,C,True,0.3297627,0.10705828,0.4798019,0.08337707
"If you change the magnetic field in a closed loop of wire, what is created in the loop is a(n)",current,voltage,electric field,All of these,D,True,0.06728832,0.0020319312,0.0017931729,0.92888653
Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,inside the spaceship.,Earth.,Both of these.,Neither of these.,B,False,0.028487312,0.025139963,0.94337016,0.0030025407
The model of light most supported by the photoelectric effect is the,wave model,particle model,Both of these,Neither of these,B,False,0.006674012,0.11829969,0.8741231,0.00090322935
"Compared with a fundamental tone, the frequency of its second harmonic is",half as much,twice as much,the same,four times as much,B,False,0.14300925,0.019354196,0.72626084,0.11137571
A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be,48.0 m,24.0 m,6.00 m,3.00 m,C,False,0.5284272,0.10405348,0.117908046,0.24961132
"During the time an aircraft produces a sonic boom, the aircraft is",breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,All of these,C,False,0.59023505,0.0010055362,0.0030972692,0.40566224
The principal source of Earth’s internal energy is,tidal friction,gravitational pressure,radioactivity,geothermal heat,C,True,0.0007075215,0.0002296986,0.9962645,0.0027983019
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",positive,negative,Both of these,Neither of these,A,False,0.008424219,0.013889188,0.97370726,0.0039793192
Astrophysicists are able to identify the elements in the outer layers of a star by studying its,Doppler effect.,molecular structure.,temperature.,spectrum.,D,True,0.13172792,0.0035104302,0.005787721,0.8589739
Relativistic equations for time dilation length contraction and relativistic momentum and energy hold true,at speeds near that of light.,at everyday low speeds.,at all speeds.,only approximately.,C,False,0.49948388,0.0005161155,0.49948388,0.0005161155
"In his special theory of relativity, Einstein stated that the laws of physics are",different in different situations.,common sense applied to microscopic and macroscopic things.,the same in all frames of reference.,the same in all uniformly moving frames of reference.,D,False,0.00033276377,0.00013871658,0.99195486,0.007573669
"When an element ejects a beta particle, the atomic number of that element",reduces by 1,increases by 1,reduces by 2,increases by 2,B,False,0.84142184,0.047469772,0.08868521,0.022423131
The amount of heat transferred to a system can be measured in,calories,joules,Either,Neither,C,False,0.59810257,0.36276755,0.015938893,0.023190953
"Compared with the sound you hear from the siren of a stationary fire engine, its sound when it approaches you has an increased",speed,frequency,Both of these,Neither of these,B,False,0.015663346,0.013822854,0.9690569,0.0014569181
Light reflecting from a smooth surface undergoes a change in,frequency.,wavelength.,All of these.,None of these.,D,False,0.0075690686,0.001024362,0.9913523,5.4289198e-05
What Einstein discovered about space and time is that they,are separate entities.,are parts of one whole.,follow an inverse-square law.,are special to space travelers.,B,True,0.008336737,0.96359575,0.0023885153,0.025678957
All parts of a laser beam have the same,frequency,phase,speed,All of these,D,True,0.06000591,0.0005882773,0.00075536297,0.9386504
The rotational inertia of an object is greater when most of the mass is located,near the rotational axis,away from the axis,on the rotational axis,off center,B,False,0.5858059,0.0065077157,0.4026181,0.005068214
"When small pieces of material are assembled into a larger piece, the combined surface area",greatly increases,slightly increases,decreases,is unchanged,C,False,0.5119916,0.21342985,0.21342985,0.06114868
A rainbow is the result of light in raindrops that undergoes,internal reflection,dispersion,refraction,All of these,D,True,0.28136823,0.029655993,0.014008499,0.6749673
"In the atomic nucleus, electrical forces tend to",hold particles together,push particles apart,produce orbital motion,charge particles,B,False,0.9991574,0.000709576,5.8245547e-05,7.478876e-05
The fact that the acceleration of free fall is the same for all masses is explained by Newton’s,first law,second law,third law,law of action–reaction,B,False,0.033352505,0.0037420476,0.10273296,0.8601725
"Compared with radiation from the Sun, terrestrial radiation has a lower",wavelength,frequency,Both,Neither,B,False,0.032003712,0.0007070541,0.93528557,0.032003712
"When we speak of time dilation, we mean that time",compresses with speed.,stretches with speed.,is a constant at all speeds.,is related to space.,B,True,0.1285855,0.653011,0.21200164,0.0064018946
The magnetic field lines about a current-carrying wire form,circles,radial lines,eddy currents,energy loops,A,True,0.99401516,0.0040623127,0.0014944413,0.0004281646
An inflated balloon with a heavy rock tied to it is dropped into a deep lake. As the balloon sinks deeper and deeper the buoyant force acting on it,increases.,decreases.,remains largely unchanged.,Need more information.,B,False,0.22745046,0.04478765,0.70059675,0.027165083
"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?",0.50 g,0.25 g,0.125 g,0.0625 g,C,False,0.17121738,0.055586148,0.36246723,0.41072917
Boiling and freezing occur when water is subjected to,decreased temperatures,decreased atmospheric pressure,increased temperatures,increased atmospheric pressure,B,False,0.33164725,0.014571563,0.4258435,0.22793761
"When you bend the branch of a tree by hanging on its end, the top side of the branch is under",tension.,compression.,Both.,Neither.,A,False,0.0040644165,0.0010276454,0.9945299,0.00037804962
A simple and correct way to comprehend satellites orbiting Earth is to view them as,balanced between gravitational and centripetal forces.,beyond the main pull of Earth gravity.,in mechanical equilibrium with a net force of zero.,having sufficient tangential velocities to fall around rather than into Earth.,D,False,0.5087603,0.013558002,0.44897935,0.02870229
